target_id,abc_common_visible_frames,abc_common_total_frames,A_visible_frames,A_total_frames,B_visible_frames,B_total_frames,C_visible_frames,C_total_frames
md3005,701,1104,1030,1104,883,1104,979,1104
md3008,0,652,182,652,156,652,25,652
md3013,634,634,634,634,634,634,634,634
md3017,445,455,445,455,455,455,455,455
md3018,1028,1033,1028,1033,1033,1033,1033,1033
md3019,732,740,732,740,740,740,740,740
md3020,487,552,493,552,552,552,546,552
md3026,228,400,327,400,301,400,400,400
md3030,382,525,503,525,452,525,468,525
md3031,430,635,605,635,508,635,560,635
md3032,493,610,582,610,521,610,610,610
md3035,546,546,546,546,546,546,546,546
md3036,7,786,786,786,7,786,786,786
md3038,209,608,515,608,231,608,557,608
md3040,709,850,833,850,836,850,740,850
md3044,797,797,797,797,797,797,797,797
md3050,131,830,323,830,560,830,426,830
md3051,475,602,564,602,564,602,546,602
md3054,573,585,585,585,577,585,581,585
md3058,883,883,883,883,883,883,883,883
md3059,946,946,946,946,946,946,946,946
md3060,510,640,581,640,640,640,569,640
md3062,718,725,718,725,725,725,725,725
