sequence,target,view,e0_auc,b1_auc,delta_auc,frame_count
md3016-1,md3016,A,54.737358861070206,55.49337260677467,0.7560137457044647,970
md3016-2,md3016,B,67.34904270986745,22.272950417280317,-45.076092292587134,970
md3016-3,md3016,C,70.90328915071183,70.80019636720668,-0.10309278350514717,970
md3027-1,md3027,A,83.04409792085849,83.71059691482226,0.6664989939637707,1136
md3027-2,md3027,B,81.37994634473509,80.6799128101945,-0.7000335345405944,1136
md3027-3,md3027,C,77.8169014084507,77.2132796780684,-0.6036217303823008,1136
md3034-1,md3034,A,48.71915763004871,48.84488448844885,0.1257268584001352,909
md3034-2,md3034,B,51.92519251925193,57.52527633715753,5.600083817905599,909
md3034-3,md3034,C,70.3022683220703,70.04033736707004,-0.26193095500026686,909
md3048-1,md3048,A,55.41778975741239,53.23450134770889,-2.1832884097035006,530
md3048-2,md3048,B,56.91823899371068,62.093441150044924,5.175202156334244,530
md3048-3,md3048,C,53.333333333333336,20.026954177897576,-33.30637915543576,530
md3055-1,md3055,A,71.76137063971404,67.91569086651054,-3.8456797732035,1159
md3055-2,md3055,B,48.99133078598134,61.477464152183735,12.486133366202395,1159
md3055-3,md3055,C,80.68531985701959,81.47006861415834,0.7847487571387433,1159
