epoch,loader,sampler,independent_view_sampling,A_count,B_count,C_count,total_local_samples
1,train,common-visible,False,6000,6000,6000,18000
1,val,common-visible,False,1496,1496,1496,4488
2,train,common-visible,False,6000,6000,6000,18000
2,val,common-visible,False,1496,1496,1496,4488
3,train,common-visible,False,6000,6000,6000,18000
3,val,common-visible,False,1496,1496,1496,4488
4,train,common-visible,False,6000,6000,6000,18000
4,val,common-visible,False,1496,1496,1496,4488
5,train,common-visible,False,6000,6000,6000,18000
5,val,common-visible,False,1496,1496,1496,4488
6,train,common-visible,False,6000,6000,6000,18000
6,val,common-visible,False,1496,1496,1496,4488
7,train,common-visible,False,6000,6000,6000,18000
7,val,common-visible,False,1496,1496,1496,4488
8,train,common-visible,False,6000,6000,6000,18000
8,val,common-visible,False,1496,1496,1496,4488
9,train,common-visible,False,6000,6000,6000,18000
9,val,common-visible,False,1496,1496,1496,4488
10,train,common-visible,False,6000,6000,6000,18000
10,val,common-visible,False,1496,1496,1496,4488
11,train,common-visible,False,6000,6000,6000,18000
11,val,common-visible,False,1496,1496,1496,4488
12,train,common-visible,False,6000,6000,6000,18000
12,val,common-visible,False,1496,1496,1496,4488
13,train,common-visible,False,6000,6000,6000,18000
13,val,common-visible,False,1496,1496,1496,4488
14,train,common-visible,False,6000,6000,6000,18000
14,val,common-visible,False,1496,1496,1496,4488
15,train,common-visible,False,6000,6000,6000,18000
15,val,common-visible,False,1496,1496,1496,4488
16,train,common-visible,False,6000,6000,6000,18000
16,val,common-visible,False,1496,1496,1496,4488
17,train,common-visible,False,6000,6000,6000,18000
17,val,common-visible,False,1496,1496,1496,4488
18,train,common-visible,False,6000,6000,6000,18000
18,val,common-visible,False,1496,1496,1496,4488
19,train,common-visible,False,6000,6000,6000,18000
19,val,common-visible,False,1496,1496,1496,4488
20,train,common-visible,False,6000,6000,6000,18000
20,val,common-visible,False,1496,1496,1496,4488
21,train,common-visible,False,6000,6000,6000,18000
21,val,common-visible,False,1496,1496,1496,4488
22,train,common-visible,False,6000,6000,6000,18000
22,val,common-visible,False,1496,1496,1496,4488
23,train,common-visible,False,6000,6000,6000,18000
23,val,common-visible,False,1496,1496,1496,4488
24,train,common-visible,False,6000,6000,6000,18000
24,val,common-visible,False,1496,1496,1496,4488
25,train,common-visible,False,6000,6000,6000,18000
25,val,common-visible,False,1496,1496,1496,4488
