sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3016-1,md3016,A,0.5448699067255769,0.7731958762886598,0.8979381443298969,0.635736858133034,970
md3027-1,md3027,A,0.8275486250838364,0.9823943661971831,1.0,0.8597871537801751,1136
md3034-1,md3034,A,0.48960134108648967,0.6457645764576457,0.9559955995599559,0.7722605957194386,909
md3048-1,md3048,A,0.5260557053009883,0.7641509433962265,0.4660377358490566,0.529093290644535,530
md3055-1,md3055,A,0.7087390607666707,0.8990509059534081,0.8628127696289906,0.7202785663231347,1159
md3016-2,md3016,B,0.6743249877270495,0.9494845360824742,0.9742268041237113,0.7140135133013495,970
md3027-2,md3027,B,0.8104040912139503,1.0,1.0,0.8262121608184465,1136
md3034-2,md3034,B,0.4818481848184818,1.0,0.5390539053905391,0.48506058073506814,909
md3048-2,md3048,B,0.5441150044923629,0.41132075471698115,0.5264150943396226,0.5459601570754822,530
md3055-2,md3055,B,0.47438267800649164,0.630716134598792,0.551337359792925,0.47957561104479446,1159
md3016-3,md3016,C,0.7111929307805597,1.0,0.9701030927835051,0.7225010736117473,970
md3027-3,md3027,C,0.7716716968477532,1.0,1.0,0.7875720554568577,1136
md3034-3,md3034,C,0.704018020849704,1.0,0.7887788778877888,0.715182433524741,909
md3048-3,md3048,C,0.34860736747529203,0.35660377358490564,0.48867924528301887,0.40273690154884006,530
md3055-3,md3055,C,0.8080857882410944,0.9801553062985332,0.997411561691113,0.841131697062789,1159
