sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3001-1,md3001,A,0.746700723712218,0.9514687100893997,0.9955300127713921,0.8013583935300486,1566
md3002-1,md3002,A,0.5828891257995736,0.6753731343283582,1.0,0.8799274407620074,536
md3003-1,md3003,A,0.0,0.0,0.895,0.0,400
md3004-1,md3004,A,0.019624819624819625,0.02181818181818182,0.8581818181818182,0.12348302606803838,825
md3006-1,md3006,A,0.030837379674588977,0.03577817531305903,0.3291592128801431,0.04408446157537181,559
md3007-1,md3007,A,0.10354041416165663,0.13326653306613226,0.6993987975951904,0.2423030090982355,998
md3009-1,md3009,A,0.591847619047619,0.8832,0.8688,0.6802673960448412,1250
md3010-1,md3010,A,0.007113821138211382,0.009146341463414634,0.9298780487804879,0.09093928136864433,984
md3011-1,md3011,A,0.11347402597402596,0.16818181818181818,0.3522727272727273,0.1486866007160272,880
md3012-1,md3012,A,0.8484790994751154,1.0,1.0,0.8650439497764976,753
md3014-1,md3014,A,0.6815859390966688,1.0,0.8894849785407726,0.6920408563025364,932
md3015-1,md3015,A,0.7844323960828815,1.0,1.0,0.7980542994170654,1133
md3021-1,md3021,A,0.7407104718317533,0.982837528604119,0.9519450800915332,0.7679666905713777,874
md3022-1,md3022,A,0.7186195826645265,1.0,0.9741573033707865,0.7302724658223545,890
md3023-1,md3023,A,0.6547619047619049,1.0,0.9890829694323144,0.6631949595462144,916
md3024-1,md3024,A,0.8372106381756562,0.9300361881785284,1.0,0.9226534239066052,829
md3025-1,md3025,A,0.12076190476190476,0.144,1.0,0.85633094837406,250
md3028-1,md3028,A,0.6579649306922034,0.9871441689623508,0.8760330578512396,0.6770591875934454,1089
md3029-1,md3029,A,0.8094250148192058,1.0,1.0,0.824445040625976,964
md3033-1,md3033,A,0.7841335704406244,0.970954356846473,0.9937759336099585,0.8137818273183582,482
md3037-1,md3037,A,0.022315712456557526,0.02560819462227913,0.7925736235595391,0.09777376047996462,781
md3039-1,md3039,A,0.6206977840641207,0.7244224422442245,1.0,0.8748848253964937,606
md3041-1,md3041,A,0.1398527865404837,0.2334384858044164,0.3028391167192429,0.16571217996596013,317
md3042-1,md3042,A,0.01854636591478697,0.02280701754385965,0.3087719298245614,0.026686756109324212,570
md3043-1,md3043,A,0.3917748917748917,0.762937062937063,0.5412587412587413,0.5034218767301383,1430
md3045-1,md3045,A,0.6322252171308775,0.9732704402515723,0.8805031446540881,0.6403253515725439,636
md3046-1,md3046,A,0.6808582189938122,1.0,0.9477401129943502,0.689540244606175,708
md3047-1,md3047,A,0.5799631461545922,0.7678207739307535,0.6313645621181263,0.5837886241131457,491
md3049-1,md3049,A,0.42585186370180766,0.5890257558790594,0.522956326987682,0.4331702359094469,893
md3052-1,md3052,A,0.20566146735990762,0.24610051993067592,0.2512998266897747,0.21085905896832988,577
md3053-1,md3053,A,0.47507160759040457,0.9896616541353384,0.24342105263157895,0.47469697320437226,1064
md3056-1,md3056,A,0.48483786152497804,0.5595092024539877,0.5570552147239264,0.49465528894588645,815
md3057-1,md3057,A,0.82663139329806,1.0,1.0,0.8423888976604533,540
md3061-1,md3061,A,0.29132049983113817,0.4553191489361702,0.42411347517730497,0.2951932386854055,705
md3063-1,md3063,A,0.7179012345679011,0.9259259259259259,0.8648148148148148,0.7318692084954747,540
md3001-2,md3001,B,0.6277747369701393,1.0,0.6756066411238825,0.6340405264674104,1566
md3002-2,md3002,B,0.7376510305614783,0.914179104477612,1.0,0.8227748562539331,536
md3003-2,md3003,B,0.12250000000000001,0.165,1.0,0.7096412728784965,400
md3004-2,md3004,B,0.10897546897546898,0.1406060606060606,0.6278787878787879,0.21677577033615747,825
md3006-2,md3006,B,0.2872476360848454,0.35241502683363146,0.8747763864042933,0.6134328746877301,559
md3007-2,md3007,B,0.14724687470178455,0.20440881763527055,0.4188376753507014,0.1910325586448014,998
md3009-2,md3009,B,0.021523809523809525,0.0296,0.8864,0.158847033835793,1250
md3010-2,md3010,B,0.0,0.0,0.9949186991869918,0.0,984
md3011-2,md3011,B,0.2119588744588745,0.2806818181818182,0.44545454545454544,0.2592908832866527,880
md3012-2,md3012,B,0.8840827167520395,1.0,1.0,0.9030687579129261,753
md3014-2,md3014,B,0.7387083588800327,0.9967811158798283,0.8583690987124464,0.7502358147518613,932
md3015-2,md3015,B,0.7627873744378599,1.0,0.9982347749338041,0.775500528817763,1133
md3021-2,md3021,B,0.2863136101122371,0.41189931350114417,0.47139588100686497,0.3201245704128186,874
md3022-2,md3022,B,0.8109684323167469,1.0,0.9921348314606742,0.825037266420329,890
md3023-2,md3023,B,0.7396028280307756,1.0,0.990174672489083,0.7497517267117357,916
