sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3001-1,md3001,A,0.7577388554400049,0.9514687100893997,0.9993614303959132,0.8138208679531166,1566
md3002-1,md3002,A,0.18239161336176257,0.20708955223880596,0.5317164179104478,0.27553569518790977,536
md3003-1,md3003,A,0.052142857142857144,0.0875,1.0,0.4957127457073579,400
md3004-1,md3004,A,0.01950937950937951,0.02181818181818182,0.8581818181818182,0.12245783460720219,825
md3006-1,md3006,A,0.05809694181787206,0.07513416815742398,0.3631484794275492,0.08348350377553666,559
md3007-1,md3007,A,0.10831186181887584,0.14128256513026052,0.7074148296593187,0.2539077045815787,998
md3009-1,md3009,A,0.18544761904761906,0.2808,0.3472,0.21295869333480472,1250
md3010-1,md3010,A,0.007549361207897794,0.009146341463414634,0.9298780487804879,0.0979784124107516,984
md3011-1,md3011,A,0.11147186147186149,0.16818181818181818,0.35568181818181815,0.14638591336911655,880
md3012-1,md3012,A,0.8654904192752798,1.0,1.0,0.8827465593657448,753
md3014-1,md3014,A,0.6846515430206418,1.0,0.8905579399141631,0.6959746678180732,932
md3015-1,md3015,A,0.7974194090698945,1.0,1.0,0.812214285146128,1133
md3021-1,md3021,A,0.7303585049580473,0.9668192219679634,0.9359267734553776,0.7562234120236562,874
md3022-1,md3022,A,0.666880684858213,1.0,0.8910112359550562,0.676126498292313,890
md3023-1,md3023,A,0.667654398003743,1.0,0.9912663755458515,0.676463573884043,916
md3024-1,md3024,A,0.8311218335343786,0.9300361881785284,1.0,0.915815972448561,829
md3025-1,md3025,A,0.12304761904761904,0.144,1.0,0.8766197385020581,250
md3028-1,md3028,A,0.6215400760855306,0.9871441689623508,0.8898071625344353,0.6384344498689346,1089
md3029-1,md3029,A,0.8303200948429164,1.0,1.0,0.8472343349292595,964
md3033-1,md3033,A,0.8261213198972535,0.9813278008298755,1.0,0.859567040110458,482
md3037-1,md3037,A,0.022071824888726294,0.02560819462227913,0.7925736235595391,0.09641900583240144,781
md3039-1,md3039,A,0.6243124312431243,0.7244224422442245,1.0,0.8796394970179617,606
md3041-1,md3041,A,0.13053928195884032,0.2302839116719243,0.2996845425867508,0.1536186950803404,317
md3042-1,md3042,A,0.018379281537176276,0.02280701754385965,0.3087719298245614,0.026406094927795307,570
md3043-1,md3043,A,0.382051282051282,0.7748251748251749,0.5573426573426573,0.4904217938345345,1430
md3045-1,md3045,A,0.5737496256364181,0.8805031446540881,0.8176100628930818,0.5808472639001186,636
md3046-1,md3046,A,0.5958434221146085,0.9265536723163842,0.8898305084745762,0.6027484906930669,708
md3047-1,md3047,A,0.6303947240810783,0.8533604887983707,0.6843177189409368,0.6375699282624847,491
md3049-1,md3049,A,0.7477736895430065,1.0,0.9182530795072789,0.7614663329723168,893
md3052-1,md3052,A,0.21391433523149292,0.2530329289428076,0.25476603119584057,0.2184700958779231,577
md3053-1,md3053,A,0.27703186537773,0.4859022556390977,0.18890977443609022,0.27853855294408736,1064
md3056-1,md3056,A,0.8215016067776804,1.0,0.9950920245398773,0.837762671472411,815
md3057-1,md3057,A,0.8084656084656084,1.0,1.0,0.8243265481497346,540
md3061-1,md3061,A,0.3004390408645728,0.4553191489361702,0.4099290780141844,0.30467281288577314,705
md3063-1,md3063,A,0.6970017636684303,0.9425925925925925,0.8759259259259259,0.7094339174134086,540
md3001-2,md3001,B,0.6897463966429483,1.0,0.8939974457215837,0.6991073365935477,1566
md3002-2,md3002,B,0.7412046908315565,0.914179104477612,0.9981343283582089,0.8270775468507485,536
md3003-2,md3003,B,0.12345238095238094,0.165,1.0,0.7171574346041949,400
md3004-2,md3004,B,0.13604617604617605,0.17333333333333334,0.6606060606060606,0.27004099286859146,825
md3006-2,md3006,B,0.297299599625181,0.36493738819320215,0.8819320214669052,0.6354522262468688,559
md3007-2,md3007,B,0.14657887202977382,0.20440881763527055,0.41282565130260523,0.19021578427511118,998
md3009-2,md3009,B,0.02217142857142857,0.0296,0.8864,0.16358588852553232,1250
md3010-2,md3010,B,0.0,0.0,0.9949186991869918,0.0,984
md3011-2,md3011,B,0.21352813852813854,0.2806818181818182,0.44545454545454544,0.2614143275472627,880
md3012-2,md3012,B,0.88193258711187,1.0,1.0,0.9025692395283877,753
md3014-2,md3014,B,0.7315041896586961,1.0,0.8497854077253219,0.7429419100010816,932
md3015-2,md3015,B,0.7738410456857059,1.0,1.0,0.7862971989583529,1133
md3021-2,md3021,B,0.3514220333442301,0.4988558352402746,0.5045766590389016,0.39393918638576786,874
