sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3001-1,md3001,A,0.7596241561758803,0.9514687100893997,0.9980842911877394,0.8150616734175877,1566
md3002-1,md3002,A,0.26608031272210375,0.2966417910447761,0.621268656716418,0.4020766813156951,536
md3003-1,md3003,A,0.03833333333333334,0.0425,0.9625,0.3645990313635322,400
md3004-1,md3004,A,0.019855699855699856,0.02181818181818182,0.8581818181818182,0.1253887379838979,825
md3006-1,md3006,A,0.21313570150779454,0.590339892665474,0.37209302325581395,0.29680162353049466,559
md3007-1,md3007,A,0.08774692241626109,0.11222444889779559,0.6783567134268537,0.2064013750279537,998
md3009-1,md3009,A,0.30198095238095235,0.448,0.4944,0.3468364184967129,1250
md3010-1,md3010,A,0.007307394502516455,0.009146341463414634,0.9298780487804879,0.09352272963171267,984
md3011-1,md3011,A,0.12110389610389609,0.16818181818181818,0.37727272727272726,0.15944229490945594,880
md3012-1,md3012,A,0.859798899639537,1.0,1.0,0.878995663808233,753
md3014-1,md3014,A,0.6880748007357449,1.0,0.8905579399141631,0.7005470374873486,932
md3015-1,md3015,A,0.7731265498255789,1.0,1.0,0.7870240263968445,1133
md3021-1,md3021,A,0.7125422251280374,0.9702517162471396,0.9359267734553776,0.7372701332328934,874
md3022-1,md3022,A,0.673354735152488,1.0,0.9370786516853933,0.6830922803738572,890
md3023-1,md3023,A,0.6327718860469952,1.0,0.990174672489083,0.6389773212318725,916
md3024-1,md3024,A,0.8242862887012465,0.9300361881785284,1.0,0.9030251592807453,829
md3025-1,md3025,A,0.12685714285714286,0.144,1.0,0.8976509631698915,250
md3028-1,md3028,A,0.4935939481394026,0.8466483011937558,0.7465564738292011,0.5041544023486081,1089
md3029-1,md3029,A,0.8366429559375619,1.0,0.9989626556016598,0.8543120425672467,964
md3033-1,md3033,A,0.7305868405453467,0.8817427385892116,0.9004149377593361,0.7601230743358456,482
md3037-1,md3037,A,0.022010852996768488,0.02560819462227913,0.7925736235595391,0.09629894029333756,781
md3039-1,md3039,A,0.6283199748546283,0.7244224422442245,1.0,0.8854474009775354,606
md3041-1,md3041,A,0.1263331831155175,0.19558359621451105,0.3028391167192429,0.14983396876037242,317
