scope_type,scope,case,frame_count,both_helpful_count,both_harmful_count,both_tie_count,both_helpful_ratio,both_harmful_ratio,both_tie_ratio
overall,all,sender0_helpful_sender1_harmful,14,6,1,7,0.42857142857142855,0.07142857142857142,0.5
overall,all,sender0_harmful_sender1_helpful,23,1,0,22,0.043478260869565216,0.0,0.9565217391304348
overall,all,both_senders_helpful,368,366,0,2,0.9945652173913043,0.0,0.005434782608695652
overall,all,both_senders_harmful,484,1,480,3,0.002066115702479339,0.9917355371900827,0.006198347107438017
overall,all,branch_summary_sender0_only,13513,716,1574,11223,0.052986013468511804,0.11648042625619774,0.8305335602752905
overall,all,branch_summary_sender1_only,13513,1244,860,11409,0.09205949826093392,0.06364241841189965,0.8442980833271664
overall,all,branch_summary_both,13513,770,937,11806,0.056982165322282244,0.06934063494412787,0.8736771997335899
receiver,A,sender0_helpful_sender1_harmful,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666
receiver,A,sender0_harmful_sender1_helpful,3,0,0,3,0.0,0.0,1.0
receiver,A,both_senders_helpful,113,113,0,0,1.0,0.0,0.0
receiver,A,both_senders_harmful,248,0,247,1,0.0,0.9959677419354839,0.004032258064516129
receiver,A,branch_summary_sender0_only,4236,182,632,3422,0.04296506137865911,0.14919735599622286,0.8078375826251181
receiver,A,branch_summary_sender1_only,4236,291,365,3580,0.06869688385269122,0.08616619452313504,0.8451369216241738
receiver,A,branch_summary_both,4236,213,409,3614,0.05028328611898017,0.0965533522190746,0.8531633616619453
receiver,B,sender0_helpful_sender1_harmful,9,4,0,5,0.4444444444444444,0.0,0.5555555555555556
receiver,B,sender0_harmful_sender1_helpful,15,1,0,14,0.06666666666666667,0.0,0.9333333333333333
receiver,B,both_senders_helpful,94,93,0,1,0.9893617021276596,0.0,0.010638297872340425
receiver,B,both_senders_harmful,72,0,71,1,0.0,0.9861111111111112,0.013888888888888888
receiver,B,branch_summary_sender0_only,4663,206,311,4146,0.04417756808921295,0.06669526056187004,0.8891271713489171
receiver,B,branch_summary_sender1_only,4663,503,252,3908,0.10787046965472871,0.05404246193437701,0.8380870684108943
receiver,B,branch_summary_both,4663,222,166,4275,0.047608835513617845,0.03559939952820073,0.9167917649581814
receiver,C,sender0_helpful_sender1_harmful,2,1,1,0,0.5,0.5,0.0
receiver,C,sender0_harmful_sender1_helpful,5,0,0,5,0.0,0.0,1.0
receiver,C,both_senders_helpful,161,160,0,1,0.9937888198757764,0.0,0.006211180124223602
receiver,C,both_senders_harmful,164,1,162,1,0.006097560975609756,0.9878048780487805,0.006097560975609756
receiver,C,branch_summary_sender0_only,4614,328,631,3655,0.07108799306458605,0.13675769397485912,0.7921543129605548
receiver,C,branch_summary_sender1_only,4614,450,243,3921,0.09752925877763328,0.05266579973992198,0.8498049414824448
receiver,C,branch_summary_both,4614,335,362,3917,0.07260511486779367,0.07845687039445166,0.8489380147377547
