receiver_view,variant,sequence_count,auc,precision,normalized_precision,mean_iou,remote_help_available_ratio,gt_oracle
A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.08593012275731822,False
A,sender0_only,5,0.623705295464144,0.8162222555659293,0.857530413993239,0.707497156788891,0.08593012275731822,False
A,sender1_only,5,0.6255829605992512,0.8141629005591732,0.8563190373117765,0.7097791164117118,0.08593012275731822,False
A,both,5,0.6251493672543222,0.8143676964958135,0.8571378294371129,0.7091005728995066,0.08593012275731822,False
A,oracle_single,5,0.6371054724359935,0.818076814636045,0.8611632781064638,0.7231127362359467,0.08593012275731822,True
A,oracle_4,5,0.637593326690383,0.818076814636045,0.8616033221108641,0.7236476598324219,0.08593012275731822,True
B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.13253270426763886,False
B,sender0_only,5,0.6113851986888218,0.8055052187501417,0.7410690083731911,0.6242241850322319,0.13253270426763886,False
B,sender1_only,5,0.6175861167688501,0.801860567375339,0.7391283129652918,0.6316144155398932,0.13253270426763886,False
B,both,5,0.6143927374106863,0.804405376661158,0.7410521247552436,0.6280122067585182,0.13253270426763886,False
B,oracle_single,5,0.629156167812213,0.8075645737568976,0.7541409516305395,0.643793329867764,0.13253270426763886,True
B,oracle_4,5,0.629540908444799,0.8075645737568976,0.7550986832967174,0.6442914773350152,0.13253270426763886,True
C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.1352405721716515,False
C,sender0_only,5,0.7050273522815885,0.9069744574861218,0.8920799705916332,0.7358378306089074,0.1352405721716515,False
C,sender1_only,5,0.7082131727386531,0.9065970989955557,0.8909783472510553,0.7391027344486288,0.1352405721716515,False
C,both,5,0.7072862960072965,0.9062197405049897,0.8923013822242037,0.7381233383641874,0.1352405721716515,False
C,oracle_single,5,0.7199677348492564,0.9077291744672538,0.9013138621778924,0.752056343668757,0.1352405721716515,True
C,oracle_4,5,0.7205850227047729,0.9077291744672538,0.9023512866750594,0.7527351235817941,0.1352405721716515,True
