group_type,group,valid_rows,helpful_count,harmful_count,tie_count,helpful_ratio,harmful_ratio,tie_ratio,mean_delta_iou
overall,all,27026,1960,2434,22632,0.07252275586472286,0.0900614223340487,0.8374158218012284,0.00048749784575412264
receiver,A,8472,473,997,7002,0.05583097261567516,0.11768177525967895,0.8264872521246459,-0.001056078822107468
receiver,B,9326,709,563,8054,0.07602401887197083,0.060368861248123525,0.8636071198799057,0.0014884684818117636
receiver,C,9228,778,874,7576,0.08430862592110967,0.09471174685739055,0.8209796272214998,0.0008930168507660243
sender,A,9277,534,942,7801,0.05756171176026733,0.10154144658833675,0.8408968416513959,-0.0011986999959985396
sender,B,8850,632,875,7343,0.07141242937853107,0.09887005649717515,0.8297175141242937,0.00014841104492196186
sender,C,8899,794,617,7488,0.08922350825935499,0.06933363299247107,0.8414428587481739,0.002582539486983931
receiver_sender,A<-B,4236,182,632,3422,0.04296506137865911,0.14919735599622286,0.8078375826251181,-0.002646251966382985
receiver_sender,A<-C,4236,291,365,3580,0.06869688385269122,0.08616619452313504,0.8451369216241738,0.0005340943221680499
receiver_sender,B<-A,4663,206,311,4146,0.04417756808921295,0.06669526056187004,0.8891271713489171,-0.0014664675712180218
receiver_sender,B<-C,4663,503,252,3908,0.10787046965472871,0.05404246193437701,0.8380870684108943,0.004443404534841549
receiver_sender,C<-A,4614,328,631,3655,0.07108799306458605,0.13675769397485912,0.7921543129605548,-0.0009280887685931557
receiver_sender,C<-B,4614,450,243,3921,0.09752925877763328,0.05266579973992198,0.8498049414824448,0.0027141224701252038
