receiver_view,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.0,False,False
A,both_safe,5,0.6251493672543222,0.8143676964958135,0.8571378294371129,0.7091005728995066,-0.0022101823638854823,False,False
A,e2b_mean_s5,5,0.6240301385080947,0.815640101138723,0.8564929894960723,0.7078785578154906,-0.0033294111101129786,False,False
A,e2b_weighted_s5,5,0.6240029434008205,0.815640101138723,0.8564929894960723,0.7078417427318564,-0.0033566062173872036,False,False
A,oracle_single,5,0.6371054724359935,0.818076814636045,0.8611632781064638,0.7231127362359467,0.009745922817785746,False,True
B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.0,False,False
B,both_safe,5,0.6143927374106863,0.804405376661158,0.7410521247552436,0.6280122067585182,0.0012652347035934097,False,False
B,e2b_mean_s5,5,0.6136881583085821,0.8025830509737567,0.7370042232710896,0.6269815170253328,0.0005606556014892128,False,False
B,e2b_weighted_s5,5,0.613599805079235,0.8025830509737567,0.7370042232710896,0.6268910646108549,0.0004723023721420194,False,False
B,oracle_single,5,0.629156167812213,0.8075645737568976,0.7541409516305395,0.643793329867764,0.01602866510512002,False,True
C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.0,False,False
C,both_safe,5,0.7072862960072965,0.9062197405049897,0.8923013822242037,0.7381233383641874,0.001204071864124967,False,False
C,e2b_mean_s5,5,0.7050697056658646,0.9058423820144237,0.8908391397881965,0.7356261051045714,-0.0010125184773069895,False,False
C,e2b_weighted_s5,5,0.7050138313249124,0.9058423820144237,0.8910117023421223,0.7356038252462277,-0.0010683928182592117,False,False
C,oracle_single,5,0.7199677348492564,0.9077291744672538,0.9013138621778924,0.752056343668757,0.013885510706084792,False,True
