sequence_name,target_id,receiver_view,sender_view,sender_slot,frame_id,target_visible,valid_for_analysis,delta_iou,label,remote_help_available,feature_sha256,source_prediction_sha256
md3016-1,md3016,A,B,0,0,True,True,0.0,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,0,True,True,0.0,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,1,True,True,-0.024324852347706982,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,1,True,True,-0.0328982336744057,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,2,True,True,-0.005042632903262345,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,2,True,True,-0.0032929161458122858,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,3,True,True,0.0075604840687167885,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,3,True,True,0.009412440095656005,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,4,True,True,0.009175707773541042,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,4,True,True,0.0075444670092410515,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,5,True,True,0.016483678858409068,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,5,True,True,0.012742277969251314,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,6,True,True,0.022574578760084396,helpful,True,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,6,True,True,0.015749638354165763,tie,True,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,7,True,True,0.00957700962387198,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,7,True,True,0.010452563903789569,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,8,True,True,0.009771503311011842,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,8,True,True,0.008941361301016748,tie,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,9,True,True,-0.026205689915763664,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,9,True,True,-0.027307859056351247,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,10,True,True,-0.02580975369869043,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,10,True,True,-0.02072720357365676,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,11,True,True,-0.03062160442287165,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,C,1,11,True,True,-0.02595921911822152,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
md3016-1,md3016,A,B,0,12,True,True,-0.0296666234886086,harmful,False,bac418da99df955e29fdeed0e466b53fd585a58c03345e3159cf3c75d4c08cf2,75ebb3cb292202346619e6f81cc46d050fa394a73e7c0d01ad9376545ba95f43
