representation,feature_set,feature_name,prediction_only,strictly_causal_history,primary
weighted,S0,sender_score,True,False,False
weighted,S0,sender_apce,True,False,False
weighted,S0,sender_entropy,True,False,False
weighted,S0,receiver_score,True,False,False
weighted,S0,receiver_apce,True,False,False
weighted,S0,receiver_entropy,True,False,False
weighted,S0,score_difference,True,False,False
weighted,S0,apce_difference,True,False,False
weighted,S0,entropy_difference,True,False,False
weighted,S1,weighted_sender_self_prev,True,True,False
weighted,S1,weighted_sender_self_ema,True,True,False
weighted,S1,weighted_sender_template_consistency,True,False,False
weighted,S2,weighted_cross_cosine,True,False,False
weighted,S3,weighted_sender_self_prev,True,True,False
weighted,S3,weighted_sender_self_ema,True,True,False
weighted,S3,weighted_sender_template_consistency,True,False,False
weighted,S3,weighted_cross_cosine,True,False,False
weighted,S4,weighted_sender_self_prev,True,True,False
weighted,S4,weighted_sender_self_ema,True,True,False
weighted,S4,weighted_sender_template_consistency,True,False,False
weighted,S4,weighted_cross_cosine,True,False,False
weighted,S4,weighted_receiver_self_prev,True,True,False
weighted,S4,weighted_receiver_self_ema,True,True,False
weighted,S4,weighted_receiver_template_consistency,True,False,False
weighted,S5,weighted_sender_self_prev,True,True,True
weighted,S5,weighted_sender_self_ema,True,True,True
weighted,S5,weighted_sender_template_consistency,True,False,True
weighted,S5,weighted_cross_cosine,True,False,True
weighted,S5,weighted_receiver_self_prev,True,True,True
weighted,S5,weighted_receiver_self_ema,True,True,True
weighted,S5,weighted_receiver_template_consistency,True,False,True
weighted,S5,weighted_sender_self_window,True,True,True
weighted,S5,weighted_receiver_self_window,True,True,True
weighted,S5,weighted_ema_difference,True,True,True
weighted,S5,weighted_template_difference,True,False,True
weighted,S5,weighted_cross_sender_template_interaction,True,False,True
mean,S0,sender_score,True,False,False
mean,S0,sender_apce,True,False,False
mean,S0,sender_entropy,True,False,False
mean,S0,receiver_score,True,False,False
mean,S0,receiver_apce,True,False,False
mean,S0,receiver_entropy,True,False,False
mean,S0,score_difference,True,False,False
mean,S0,apce_difference,True,False,False
mean,S0,entropy_difference,True,False,False
mean,S1,mean_sender_self_prev,True,True,False
mean,S1,mean_sender_self_ema,True,True,False
mean,S1,mean_sender_template_consistency,True,False,False
mean,S2,mean_cross_cosine,True,False,False
mean,S3,mean_sender_self_prev,True,True,False
mean,S3,mean_sender_self_ema,True,True,False
mean,S3,mean_sender_template_consistency,True,False,False
mean,S3,mean_cross_cosine,True,False,False
mean,S4,mean_sender_self_prev,True,True,False
mean,S4,mean_sender_self_ema,True,True,False
mean,S4,mean_sender_template_consistency,True,False,False
mean,S4,mean_cross_cosine,True,False,False
mean,S4,mean_receiver_self_prev,True,True,False
mean,S4,mean_receiver_self_ema,True,True,False
mean,S4,mean_receiver_template_consistency,True,False,False
mean,S5,mean_sender_self_prev,True,True,False
mean,S5,mean_sender_self_ema,True,True,False
mean,S5,mean_sender_template_consistency,True,False,False
mean,S5,mean_cross_cosine,True,False,False
mean,S5,mean_receiver_self_prev,True,True,False
mean,S5,mean_receiver_self_ema,True,True,False
mean,S5,mean_receiver_template_consistency,True,False,False
mean,S5,mean_sender_self_window,True,True,False
mean,S5,mean_receiver_self_window,True,True,False
mean,S5,mean_ema_difference,True,True,False
mean,S5,mean_template_difference,True,False,False
mean,S5,mean_cross_sender_template_interaction,True,False,False
