task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
A_helpful_vs_harmful,weighted_sender_self_prev,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.44233090319118606,0.45001458147308715,0.46120689655172414,0.21836734693877552,1934,500,1532,428,False,True
A_helpful_vs_harmful,weighted_sender_self_ema,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.34358817684838927,0.35293934037107944,0.3484785327219675,0.42653061224489797,871,1563,1124,836,False,True
A_helpful_vs_harmful,weighted_sender_template_consistency,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4528527618935824,0.4648160594831886,0.385718839655722,0.6173469387755102,507,1927,750,1210,False,True
A_helpful_vs_harmful,weighted_receiver_self_prev,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.32599871296094446,0.35409037777219476,0.35847774379884473,0.5382653061224489,546,1888,905,1055,False,True
A_helpful_vs_harmful,weighted_receiver_self_ema,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3334731817953147,0.36096443794087396,0.3036996134732192,0.28061224489795916,1173,1261,1410,550,False,True
A_helpful_vs_harmful,weighted_receiver_template_consistency,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.2827055699025707,0.34916535056686304,0.28946041351487645,0.29285714285714287,1025,1409,1386,574,False,True
A_helpful_vs_harmful,weighted_sender_self_window,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4044762337967233,0.4331886549436902,0.49140893470790376,0.21887755102040815,1990,444,1531,429,False,True
A_helpful_vs_harmful,weighted_receiver_self_window,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.31249905673033385,0.35210241646570317,0.3685272360457297,0.5591836734693878,556,1878,864,1096,False,True
A_helpful_vs_harmful,weighted_ema_difference,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4995795113443899,0.4401145203686352,0.4717741935483871,0.5372448979591836,1255,1179,907,1053,False,True
A_helpful_vs_harmful,weighted_template_difference,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4826756996964768,0.4376576396742567,0.4090106007067138,0.47244897959183674,1096,1338,1034,926,False,True
A_helpful_vs_harmful,mean_sender_self_prev,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4337263972967988,0.44525191674574405,0.46304347826086956,0.2173469387755102,1940,494,1534,426,False,True
A_helpful_vs_harmful,mean_sender_self_ema,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3432293151442993,0.3526914749780944,0.3486238532110092,0.42653061224489797,872,1562,1124,836,False,True
A_helpful_vs_harmful,mean_sender_template_consistency,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.45352772374356487,0.4652782343834434,0.38650111429481054,0.6193877551020408,507,1927,746,1214,False,True
A_helpful_vs_harmful,mean_receiver_self_prev,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3258718955947211,0.35389796413157715,0.35896563456958147,0.5382653061224489,550,1884,905,1055,False,True
A_helpful_vs_harmful,mean_receiver_self_ema,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.33394167239615646,0.3612499126827874,0.303601108033241,0.2795918367346939,1177,1257,1412,548,False,True
A_helpful_vs_harmful,mean_receiver_template_consistency,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.2819997945768282,0.348850908764723,0.28808446455505277,0.2923469387755102,1018,1416,1387,573,False,True
A_helpful_vs_harmful,mean_sender_self_window,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.40356084298961986,0.4327449709108765,0.488558352402746,0.21785714285714286,1987,447,1533,427,False,True
A_helpful_vs_harmful,mean_receiver_self_window,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.31445791340365237,0.3524449770238015,0.3684033613445378,0.5591836734693878,555,1879,864,1096,False,True
A_helpful_vs_harmful,mean_ema_difference,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.5001243019804471,0.4400522799565767,0.47240915208613726,0.5372448979591836,1258,1176,907,1053,False,True
A_helpful_vs_harmful,mean_template_difference,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4790445307128603,0.4358780393602505,0.4069664902998236,0.47091836734693876,1089,1345,1037,923,False,True
