task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
A_helpful_vs_harmful,weighted_S0,overall,9,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3633227407643419,0.3709624199254469,0.31008583690987124,0.29489795918367345,1148,1286,1382,578,False,True
A_helpful_vs_harmful,weighted_S0,receiver_A,9,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.20932777189920715,0.2268494517541767,0.13733075435203096,0.15010570824524314,551,446,402,71,False,True
A_helpful_vs_harmful,weighted_S0,receiver_B,9,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.3973274343821007,0.4677696263058643,0.4664429530201342,0.3921015514809591,245,318,431,278,False,True
A_helpful_vs_harmful,weighted_S0,receiver_C,9,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.40129005311983434,0.4462288331059002,0.30492676431424764,0.2943444730077121,352,522,549,229,False,True
B_replace_local,weighted_S0,overall,9,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.48456386069366236,0.07154539766532594,0.07860922146636433,0.37142857142857144,16503,8533,1232,728,False,True
B_replace_local,weighted_S0,receiver_A,9,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5820717545822123,0.10548992326383491,0.11351909184726522,0.46511627906976744,6271,1718,253,220,False,True
B_replace_local,weighted_S0,receiver_B,9,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.49066681218406705,0.06985526135964887,0.07240948813982521,0.4908321579689704,4149,4458,361,348,False,True
B_replace_local,weighted_S0,receiver_C,9,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.4000150769380718,0.0715264592891485,0.06356773937226858,0.20565552699228792,6083,2357,618,160,False,True
A_helpful_vs_harmful,weighted_S1,overall,3,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.43459714000637234,0.4451867622298198,0.38456375838926177,0.5846938775510204,600,1834,814,1146,False,True
A_helpful_vs_harmful,weighted_S1,receiver_A,3,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.30858961663001694,0.26390819111129304,0.19754170324846357,0.47568710359408034,83,914,248,225,False,True
A_helpful_vs_harmful,weighted_S1,receiver_B,3,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.4845340421427623,0.5377747328862166,0.6010230179028133,0.6629055007052186,251,312,239,470,False,True
A_helpful_vs_harmful,weighted_S1,receiver_C,3,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5222112086968287,0.616378157762561,0.4258734655335222,0.5796915167095116,266,608,327,451,False,True
B_replace_local,weighted_S1,overall,3,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5364843808589101,0.08346526848831809,0.09442340342170563,0.36887755102040815,18102,6934,1237,723,False,True
B_replace_local,weighted_S1,receiver_A,3,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.6104045811405059,0.09757274760324076,0.08836206896551724,0.5200845665961945,5451,2538,227,246,False,True
B_replace_local,weighted_S1,receiver_B,3,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.44276651520075094,0.06565756228547946,0.053909664885866924,0.15655853314527504,6659,1948,598,111,False,True
B_replace_local,weighted_S1,receiver_C,3,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5796071467732307,0.1022771877989089,0.1300639658848614,0.4704370179948586,5992,2448,412,366,False,True
A_helpful_vs_harmful,weighted_S2,overall,1,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.40212602501970385,0.4212312570620593,0.3837894007620367,0.5653061224489796,655,1779,852,1108,False,True
A_helpful_vs_harmful,weighted_S2,receiver_A,1,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.3711154605465445,0.3359466082865924,0.2,0.4334038054968288,177,820,268,205,False,True
