receiver_view,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
A,local,5,0.6273595496182077,0.8138822422167505,0.8576098389022105,0.7109411579494871,0.0,False,False
A,both,5,0.6251493672543222,0.8143676964958135,0.8571378294371129,0.7091005728995066,-0.0022101823638854823,False,False
A,sender0_only,5,0.623705295464144,0.8162222555659293,0.857530413993239,0.707497156788891,-0.0036542541540637297,False,False
A,sender1_only,5,0.6255829605992512,0.8141629005591732,0.8563190373117765,0.7097791164117118,-0.0017765890189564981,False,False
A,policy_T0,5,0.6260641338387553,0.8162222555659293,0.8570903699888387,0.7100234211150078,-0.001295415779452469,False,False
A,policy_T1,5,0.6256815802735116,0.8160496930120035,0.8569178074349129,0.7096174173644832,-0.0016779693446961064,False,False
A,policy_T2,5,0.6263040027266248,0.8154997719675116,0.8572490961075745,0.7097193918062363,-0.001055546891582937,False,False
A,policy_T3,5,0.6266230872408027,0.8154997719675116,0.8572490961075745,0.7100041196275144,-0.0007364623774049894,False,False
A,policy_T4,5,0.6260381607958727,0.8147450549863795,0.8569039709997229,0.7094061616986965,-0.0013213888223350123,True,False
A,oracle_single,5,0.6371054724359935,0.818076814636045,0.8611632781064638,0.7231127362359467,0.009745922817785746,False,True
B,local,5,0.6131275027070929,0.8035425638915289,0.7383747176925123,0.6267259757024823,0.0,False,False
B,both,5,0.6143927374106863,0.804405376661158,0.7410521247552436,0.6280122067585182,0.0012652347035934097,False,False
B,sender0_only,5,0.6113851986888218,0.8055052187501417,0.7410690083731911,0.6242241850322319,-0.0017423040182711347,False,False
B,sender1_only,5,0.6175861167688501,0.801860567375339,0.7391283129652918,0.6316144155398932,0.004458614061757182,False,False
B,policy_T0,5,0.6135782770964983,0.8044698434265868,0.7399223663791747,0.6271241394418815,0.00045077438940532844,False,False
B,policy_T1,5,0.6129111568673509,0.8046424059805126,0.7382259975837601,0.6263606880499929,-0.00021634583974206034,False,False
B,policy_T2,5,0.612703555435804,0.8050197644710787,0.7403802714870649,0.6260353590624363,-0.00042394727128891585,False,False
B,policy_T3,5,0.6128166112551516,0.8051923270250045,0.7406629790030995,0.6261181904606055,-0.0003108914519412975,False,False
B,policy_T4,5,0.612959745904847,0.805601918898285,0.7397527067851961,0.6263398925091332,-0.00016775680224589973,True,False
B,oracle_single,5,0.629156167812213,0.8075645737568976,0.7541409516305395,0.643793329867764,0.01602866510512002,False,True
C,local,5,0.7060822241431716,0.9047103065427254,0.8907916803399221,0.7368106559779799,0.0,False,False
C,both,5,0.7072862960072965,0.9062197405049897,0.8923013822242037,0.7381233383641874,0.001204071864124967,False,False
C,sender0_only,5,0.7050273522815885,0.9069744574861218,0.8920799705916332,0.7358378306089074,-0.00105487186158304,False,False
C,sender1_only,5,0.7082131727386531,0.9065970989955557,0.8909783472510553,0.7391027344486288,0.0021309485954815743,False,False
C,policy_T0,5,0.7064789172791338,0.9065970989955557,0.8894732058791082,0.7374040844230743,0.000396693135962245,False,False
C,policy_T1,5,0.7059083666927893,0.9065970989955557,0.892710850398277,0.7367439442839302,-0.000173857450382231,False,False
C,policy_T2,5,0.7050243000761027,0.9065970989955557,0.8922648562511719,0.7357554450035271,-0.0010579240670688383,False,False
C,policy_T3,5,0.7052233676019031,0.9065970989955557,0.8920936833276162,0.7359835120117769,-0.0008588565412684934,False,False
C,policy_T4,5,0.7054576030545769,0.9065970989955557,0.893508466315349,0.7361669166888121,-0.0006246210885946235,True,False
C,oracle_single,5,0.7199677348492564,0.9077291744672538,0.9013138621778924,0.752056343668757,0.013885510706084792,False,True
