scope,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,primary_policy,gt_oracle
all,local,15,0.6488564254894907,0.8407117042170016,0.8289254123115484,0.6914925965433164,0.0,False,False
all,both,15,0.6489428002241017,0.8416642712206538,0.8301637788055201,0.6917453726740708,8.637473461092782e-05,False,False
all,sender0_only,15,0.646705948811518,0.8429006439340643,0.8302264643193544,0.6891863908100101,-0.0021504766779727458,False,False
all,sender1_only,15,0.6504607500355848,0.8408735223100227,0.8288085658427078,0.6934987554667447,0.0016043245460940492,False,False
all,policy_T0,15,0.6487071094047958,0.8424297326626906,0.8288286474157072,0.6915172149933212,-0.00014931608469492819,False,False
all,policy_T1,15,0.6481670346112173,0.8424297326626906,0.8292848851389834,0.6909073498994688,-0.0006893908782734659,False,False
all,policy_T2,15,0.6480106194128439,0.8423722118113819,0.8299647412819371,0.6905033986240666,-0.00084580607664686,False,False
all,policy_T3,15,0.6482210220326192,0.8424297326626905,0.8300019194794301,0.6907019406999655,-0.0006354034568715194,False,False
all,policy_T4,15,0.6481518365850988,0.8423146909600733,0.8300550480334227,0.6906376569655474,-0.0007045889043919562,True,False
all,oracle_single,15,0.662076458365821,0.8444568542867323,0.8388726973049653,0.7063208032574892,0.013220032876330223,False,True
