task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
B_remote_help_available,T0,overall,28,leave_one_target_out,5,13498,13498,1.0,0.11898058971699511,0.4441175959308329,0.10537258196493149,0.10527512505684403,0.28829389788293897,7957,3935,1143,463,False,True
B_remote_help_available,T0,receiver_A,28,leave_one_target_out,5,4231,4231,1.0,0.08603167099976365,0.32952255915793544,0.0695286966439157,0.06150341685649203,0.22252747252747251,2631,1236,283,81,False,True
B_remote_help_available,T0,receiver_B,28,leave_one_target_out,5,4658,4658,1.0,0.13267496779733792,0.4456911467845814,0.11485554792853873,0.10725893824485373,0.32038834951456313,2392,1648,420,198,False,True
B_remote_help_available,T0,receiver_C,28,leave_one_target_out,5,4609,4609,1.0,0.13538728574528097,0.5003599234308143,0.13437161892963584,0.14898785425101216,0.2948717948717949,2934,1051,440,184,False,True
B_remote_help_available,T1,overall,112,leave_one_target_out,5,13498,13498,1.0,0.11898058971699511,0.4289809510166006,0.10267966100518687,0.08938691396187533,0.21606475716064757,8357,3535,1259,347,False,True
B_remote_help_available,T1,receiver_A,112,leave_one_target_out,5,4231,4231,1.0,0.08603167099976365,0.32525284387192843,0.07309673068380985,0.056255247691015954,0.18406593406593408,2743,1124,297,67,False,True
B_remote_help_available,T1,receiver_B,112,leave_one_target_out,5,4658,4658,1.0,0.13267496779733792,0.4460327950270755,0.11401669184935918,0.09982174688057041,0.27184466019417475,2525,1515,450,168,False,True
B_remote_help_available,T1,receiver_C,112,leave_one_target_out,5,4609,4609,1.0,0.13538728574528097,0.47985675449602677,0.12894069406822614,0.1111111111111111,0.1794871794871795,3089,896,512,112,False,True
B_remote_help_available,T2,overall,140,leave_one_target_out,5,13498,13498,1.0,0.11898058971699511,0.4194099636454114,0.10681619988652977,0.08706756442999768,0.23349937733499376,7960,3932,1231,375,False,True
B_remote_help_available,T2,receiver_A,140,leave_one_target_out,5,4231,4231,1.0,0.08603167099976365,0.34009454471052614,0.09015291611585842,0.05036855036855037,0.22527472527472528,2321,1546,282,82,False,True
B_remote_help_available,T2,receiver_B,140,leave_one_target_out,5,4658,4658,1.0,0.13267496779733792,0.5152784453202601,0.13658874908085292,0.12764883955600403,0.40938511326860844,2311,1729,365,253,False,True
B_remote_help_available,T2,receiver_C,140,leave_one_target_out,5,4609,4609,1.0,0.13538728574528097,0.38498455747514715,0.104613390861469,0.05738880918220947,0.0641025641025641,3328,657,584,40,False,True
B_remote_help_available,T3,overall,192,leave_one_target_out,5,13498,13498,1.0,0.11898058971699511,0.41874132656758484,0.10888171597272944,0.0902079925216172,0.2403486924034869,7999,3893,1220,386,False,True
B_remote_help_available,T3,receiver_A,192,leave_one_target_out,5,4231,4231,1.0,0.08603167099976365,0.33740199547026545,0.08413966026501102,0.054104477611940295,0.23901098901098902,2346,1521,277,87,False,True
B_remote_help_available,T3,receiver_B,192,leave_one_target_out,5,4658,4658,1.0,0.13267496779733792,0.5180576916914992,0.13949693919631148,0.12807377049180327,0.4045307443365696,2338,1702,368,250,False,True
B_remote_help_available,T3,receiver_C,192,leave_one_target_out,5,4609,4609,1.0,0.13538728574528097,0.377587025061931,0.10688735788121168,0.06815020862308763,0.07852564102564102,3315,670,575,49,False,True
B_remote_help_available,T4,overall,252,leave_one_target_out,5,13498,13498,1.0,0.11898058971699511,0.419608931609056,0.11275778431937501,0.09309234959148303,0.23412204234122042,8229,3663,1230,376,False,True
B_remote_help_available,T4,receiver_A,252,leave_one_target_out,5,4231,4231,1.0,0.08603167099976365,0.3320240013413016,0.08556169123936005,0.05377094972067039,0.21153846153846154,2512,1355,287,77,False,True
B_remote_help_available,T4,receiver_B,252,leave_one_target_out,5,4658,4658,1.0,0.13267496779733792,0.521818626037361,0.14488847611470845,0.13112164296998421,0.4029126213592233,2390,1650,369,249,False,True
B_remote_help_available,T4,receiver_C,252,leave_one_target_out,5,4609,4609,1.0,0.13538728574528097,0.3758183733873822,0.11003451446178597,0.07062146892655367,0.08012820512820513,3327,658,574,50,False,True
