task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
C_sender_ranking,T0_no_identity,overall,7,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.5979498546779001,0.3191844625921365,0.3029001074113856,0.6103896103896104,763,649,180,282,False,True
C_sender_ranking,T0_no_identity,receiver_A,7,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.475037207414423,0.22459967977863673,0.15258855585831063,0.5894736842105263,78,311,39,56,False,True
C_sender_ranking,T0_no_identity,receiver_B,7,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.7241236851304541,0.45036041825555173,0.45496535796766746,0.7725490196078432,381,236,58,197,False,True
C_sender_ranking,T0_no_identity,receiver_C,7,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.46140482054890924,0.22704776385539682,0.22137404580152673,0.25892857142857145,304,102,83,29,False,True
C_sender_ranking,T1_no_identity,overall,28,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.5833992494757367,0.308871257545577,0.29124236252545826,0.6190476190476191,716,696,176,286,False,True
C_sender_ranking,T1_no_identity,receiver_A,28,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.49203084832904886,0.23117336986813575,0.15206185567010308,0.6210526315789474,60,329,36,59,False,True
C_sender_ranking,T1_no_identity,receiver_B,28,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.6960244065211174,0.43537946135003985,0.42462845010615713,0.7843137254901961,346,271,55,200,False,True
C_sender_ranking,T1_no_identity,receiver_C,28,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.48693701618578467,0.22787350639337492,0.21951219512195122,0.24107142857142858,310,96,85,27,False,True
C_sender_ranking,T2_no_identity,overall,56,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.5833992494757367,0.308871257545577,0.29124236252545826,0.6190476190476191,716,696,176,286,False,True
C_sender_ranking,T2_no_identity,receiver_A,56,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.49203084832904886,0.23117336986813575,0.15206185567010308,0.6210526315789474,60,329,36,59,False,True
C_sender_ranking,T2_no_identity,receiver_B,56,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.6960244065211174,0.43537946135003985,0.42462845010615713,0.7843137254901961,346,271,55,200,False,True
C_sender_ranking,T2_no_identity,receiver_C,56,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.48693701618578467,0.22787350639337492,0.21951219512195122,0.24107142857142858,310,96,85,27,False,True
C_sender_ranking,T3_no_identity,overall,69,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.571235421801994,0.30136089115418546,0.2886178861788618,0.6147186147186147,712,700,178,284,False,True
C_sender_ranking,T3_no_identity,receiver_A,69,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.45774590718441355,0.23891711786841696,0.14285714285714285,0.5894736842105263,53,336,39,56,False,True
C_sender_ranking,T3_no_identity,receiver_B,69,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.6916452156227159,0.427425153964867,0.4180672268907563,0.7803921568627451,340,277,56,199,False,True
C_sender_ranking,T3_no_identity,receiver_C,69,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.4815270935960591,0.23180267100680765,0.25,0.25892857142857145,319,87,83,29,False,True
C_sender_ranking,T4_no_identity,overall,93,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.5624609101946212,0.2892162793249029,0.28950050968399593,0.6147186147186147,715,697,178,284,False,True
C_sender_ranking,T4_no_identity,receiver_A,93,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.46015424164524427,0.2344488984068003,0.14898989898989898,0.6210526315789474,52,337,36,59,False,True
C_sender_ranking,T4_no_identity,receiver_B,93,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.6796834779292591,0.4097406492472891,0.4133611691022965,0.7764705882352941,336,281,57,198,False,True
C_sender_ranking,T4_no_identity,receiver_C,93,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.4742698803659395,0.22531861320631144,0.25471698113207547,0.24107142857142858,327,79,85,27,False,True
C_sender_ranking,T4_with_pair_identity,overall,102,leave_one_target_out,5,1874,1874,0.13883538301970663,0.24653148345784417,0.5353724415339146,0.28326452858856555,0.22753346080305928,0.25757575757575757,1008,404,343,119,False,True
C_sender_ranking,T4_with_pair_identity,receiver_A,102,leave_one_target_out,5,484,484,0.11439376034034507,0.1962809917355372,0.4664862670815857,0.22384102603460704,0.17419354838709677,0.5684210526315789,133,256,41,54,False,True
C_sender_ranking,T4_with_pair_identity,receiver_B,102,leave_one_target_out,5,872,872,0.18720480893087163,0.29243119266055045,0.7128102456541774,0.47067665036019957,0.46464646464646464,0.1803921568627451,564,53,209,46,False,True
C_sender_ranking,T4_with_pair_identity,receiver_C,102,leave_one_target_out,5,518,518,0.11238880451290953,0.21621621621621623,0.3651257916959887,0.1804218145015744,0.16666666666666666,0.16964285714285715,311,95,93,19,False,True
