task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
A_helpful_vs_harmful,T0,overall,7,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4281194975936143,0.4378582225755968,0.3689695098417599,0.48775510204081635,799,1635,1004,956,False,True
A_helpful_vs_harmful,T0,receiver_A,7,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.3789571674855433,0.3852789920842247,0.18948412698412698,0.40380549682875266,180,817,282,191,False,True
A_helpful_vs_harmful,T0,receiver_B,7,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.41530988283099557,0.4779024014384275,0.5697368421052632,0.610719322990127,236,327,276,433,False,True
A_helpful_vs_harmful,T0,receiver_C,7,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.48226250492667344,0.542445926249896,0.40340218712029163,0.4267352185089974,383,491,446,332,False,True
A_helpful_vs_harmful,T1,overall,28,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.43589958579980886,0.4201129732221151,0.3947841726618705,0.4479591836734694,1088,1346,1082,878,False,True
A_helpful_vs_harmful,T1,receiver_A,28,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.3333107143841673,0.29020687020093056,0.20227272727272727,0.3763213530655391,295,702,295,178,False,True
A_helpful_vs_harmful,T1,receiver_B,28,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.4502651772315847,0.49484977237078637,0.5440677966101695,0.4527503526093089,294,269,388,321,False,True
A_helpful_vs_harmful,T1,receiver_C,28,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5379692104969028,0.5724492841164195,0.5026525198938993,0.487146529562982,499,375,399,379,False,True
A_helpful_vs_harmful,T2,overall,56,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4008269330739691,0.4233234491321326,0.34713622291021673,0.4576530612244898,747,1687,1063,897,False,True
A_helpful_vs_harmful,T2,receiver_A,56,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.21235164266584108,0.2202450127987406,0.13200934579439252,0.23890063424947147,254,743,360,113,False,True
A_helpful_vs_harmful,T2,receiver_B,56,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.40912450177494636,0.471588516006514,0.5055710306406686,0.5119887165021156,208,355,346,363,False,True
A_helpful_vs_harmful,T2,receiver_C,56,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5106886754160466,0.5765711881500404,0.4168316831683168,0.5411311053984575,285,589,357,421,False,True
A_helpful_vs_harmful,T3,overall,69,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.40063345798467287,0.4236231529013118,0.34890965732087226,0.45714285714285713,762,1672,1064,896,False,True
A_helpful_vs_harmful,T3,receiver_A,69,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.21296871587277688,0.21993067744435912,0.13704994192799072,0.24947145877378435,254,743,355,118,False,True
A_helpful_vs_harmful,T3,receiver_B,69,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.41418253512940695,0.47541104264151185,0.5127840909090909,0.5091678420310296,220,343,348,361,False,True
A_helpful_vs_harmful,T3,receiver_C,69,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5085885889418976,0.5727306067238388,0.41575274177467597,0.5359897172236504,288,586,361,417,False,True
A_helpful_vs_harmful,T4,overall,93,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.4013773833280231,0.42898087272167207,0.348846304262808,0.45510204081632655,769,1665,1068,892,False,True
A_helpful_vs_harmful,T4,receiver_A,93,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.218950721085031,0.24455377275528703,0.1395617070357555,0.2558139534883721,251,746,352,121,False,True
A_helpful_vs_harmful,T4,receiver_B,93,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.4233290828149622,0.4845403269519304,0.5123010130246021,0.4992947813822285,226,337,355,354,False,True
A_helpful_vs_harmful,T4,receiver_C,93,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.5135196743395316,0.5726055738001037,0.4174174174174174,0.5359897172236504,292,582,361,417,False,True
