feature_group,feature_name,available,prediction_only,causal,window,definition,missing_reason
A,sender_score_t,True,True,True,1,sender current-frame prediction,
A,sender_apce_t,True,True,True,1,sender current-frame prediction,
A,sender_entropy_t,True,True,True,1,sender current-frame prediction,
A,sender_bbox_width_t,True,True,True,1,sender current-frame prediction,
A,sender_bbox_height_t,True,True,True,1,sender current-frame prediction,
A,sender_center_motion_t,True,True,True,1,sender current-frame prediction,
A,sender_scale_change_t,True,True,True,1,sender current-frame prediction,
B,sender_score_mean_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_score_mean_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_score_std_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_score_std_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_score_slope_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_score_slope_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_score_delta_1,True,True,True,1,sender causal score/APCE/entropy prefix,
B,sender_apce_mean_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_apce_mean_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_apce_std_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_apce_std_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_apce_slope_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_apce_slope_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_apce_delta_1,True,True,True,1,sender causal score/APCE/entropy prefix,
B,sender_entropy_mean_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_entropy_mean_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_entropy_std_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_entropy_std_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_entropy_slope_4,True,True,True,4,sender causal score/APCE/entropy prefix,
B,sender_entropy_slope_8,True,True,True,8,sender causal score/APCE/entropy prefix,
B,sender_entropy_delta_1,True,True,True,1,sender causal score/APCE/entropy prefix,
D,receiver_score_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_apce_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_entropy_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_bbox_width_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_bbox_height_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_center_motion_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_scale_change_t,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_score_mean_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_score_mean_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_score_std_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_score_std_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_score_slope_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_score_slope_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_score_delta_1,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_apce_mean_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_apce_mean_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_apce_std_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_apce_std_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_apce_slope_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_apce_slope_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_apce_delta_1,True,True,True,1,receiver current and causal reliability prefix,
D,receiver_entropy_mean_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_entropy_mean_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_entropy_std_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_entropy_std_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_entropy_slope_4,True,True,True,4,receiver current and causal reliability prefix,
D,receiver_entropy_slope_8,True,True,True,8,receiver current and causal reliability prefix,
D,receiver_entropy_delta_1,True,True,True,1,receiver current and causal reliability prefix,
E,diff_score_t,True,True,True,1,sender minus receiver causal stability,
E,diff_apce_t,True,True,True,1,sender minus receiver causal stability,
E,diff_entropy_t,True,True,True,1,sender minus receiver causal stability,
E,diff_score_mean_8,True,True,True,8,sender minus receiver causal stability,
E,diff_apce_mean_8,True,True,True,8,sender minus receiver causal stability,
E,diff_entropy_mean_8,True,True,True,8,sender minus receiver causal stability,
E,diff_score_slope_8,True,True,True,8,sender minus receiver causal stability,
E,diff_apce_slope_8,True,True,True,8,sender minus receiver causal stability,
E,diff_entropy_slope_8,True,True,True,8,sender minus receiver causal stability,
E,diff_normalized_motion_residual_t,True,True,True,1,sender minus receiver causal stability,
E,diff_velocity_norm_t,True,True,True,1,sender minus receiver causal stability,
E,diff_acceleration_norm_t,True,True,True,1,sender minus receiver causal stability,
E,diff_scale_change_t,True,True,True,1,sender minus receiver causal stability,
C,sender_velocity_x_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_velocity_y_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_velocity_norm_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_acceleration_x_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_acceleration_y_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_acceleration_norm_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_normalized_motion_residual_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_log_area_scale_change_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,sender_log_area_slope_4,True,True,True,4,bbox-derived sender/receiver causal motion,
C,sender_log_area_slope_8,True,True,True,8,bbox-derived sender/receiver causal motion,
C,sender_log_area_variance_4,True,True,True,4,bbox-derived sender/receiver causal motion,
C,sender_log_area_variance_8,True,True,True,8,bbox-derived sender/receiver causal motion,
C,receiver_velocity_x_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_velocity_y_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_velocity_norm_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_acceleration_x_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_acceleration_y_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_acceleration_norm_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_normalized_motion_residual_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_log_area_scale_change_t,True,True,True,1,bbox-derived sender/receiver causal motion,
C,receiver_log_area_slope_4,True,True,True,4,bbox-derived sender/receiver causal motion,
C,receiver_log_area_slope_8,True,True,True,8,bbox-derived sender/receiver causal motion,
C,receiver_log_area_variance_4,True,True,True,4,bbox-derived sender/receiver causal motion,
C,receiver_log_area_variance_8,True,True,True,8,bbox-derived sender/receiver causal motion,
C,response_top1_top2_gap,False,True,True,8,not constructed,response map absent from E1.5 freeze
C,response_peak_sharpness,False,True,True,8,not constructed,response map absent from E1.5 freeze
C,bbox_border_proximity,False,True,True,8,not constructed,image dimensions absent from E1.5 freeze
C,search_region_border_proximity,False,True,True,8,not constructed,response grid absent from E1.5 freeze
