variant,target_id,auc,mean_iou,normalized_precision,precision
D0-local,md3016,0.643298969072165,0.6903930387658268,0.9426116838487973,0.90446735395189
D0-local,md3027,0.8074698189134809,0.8286072025960389,1.0,0.994131455399061
D0-local,md3034,0.5698220615712365,0.6681926865451091,0.7851118445177852,0.881921525485882
D0-local,md3048,0.552231206948188,0.5821878643231728,0.6012578616352201,0.5855345911949685
D0-local,md3055,0.6714600709423832,0.6880821904864347,0.8156456715559389,0.8375035950532067
D0-closed-loop,md3016,0.6421534936998854,0.6888908778117034,0.9508591065292097,0.9103092783505154
D0-closed-loop,md3027,0.8117594455622624,0.8329665089544599,1.0,0.994131455399061
D0-closed-loop,md3034,0.465032217507465,0.563305453202172,0.6494316098276495,0.6674000733406674
D0-closed-loop,md3048,0.4241689128481582,0.43596415514748266,0.45849056603773586,0.469182389937107
D0-closed-loop,md3055,0.6700083542188806,0.6866533414029153,0.818234109864826,0.8446937014667816
D0-safe,md3016,0.6371788577974146,0.6835407858686166,0.9415807560137458,0.90446735395189
D0-safe,md3027,0.8112843729040913,0.8325864521943025,1.0,0.994131455399061
D0-safe,md3034,0.5717603506382384,0.6699006801355559,0.7895122845617896,0.881921525485882
D0-safe,md3048,0.5532494758909853,0.5846412476443726,0.60062893081761,0.5874213836477987
D0-safe,md3055,0.671240943889779,0.6880576975275062,0.8190969226344551,0.8403796376186367
