feature,source_column,direction_multiplier,eligible_rows,helpful_rows,harmful_rows,roc_auc_helpful_vs_harmful,pr_auc_helpful_vs_harmful,mean_helpful,mean_harmful,q1_threshold_directed,q1_rows,q1_helpful_ratio,q1_harmful_ratio,q4_threshold_directed,q4_rows,q4_helpful_ratio,q4_harmful_ratio
local_max_score,local_max_score,1.0,1707,770,937,0.5330905487255541,0.5706436361782681,0.6344402307717057,0.6191411325936638,0.5530767738819122,3375,0.0725925925925926,0.08237037037037037,0.8114596158266068,3375,0.050074074074074076,0.018074074074074076
local_apce,local_apce,1.0,1707,770,937,0.5388432272103564,0.582328377366496,165.8571383562955,160.5066824519138,126.89228439331055,3375,0.07703703703703704,0.08711111111111111,237.70607376098633,3375,0.053037037037037035,0.015703703703703702
local_entropy,local_entropy,1.0,1707,770,937,0.46335084339353283,0.45644271552832316,0.5108533586774554,0.5439242780558455,0.3892090618610382,3375,0.053925925925925926,0.021333333333333333,0.6149681508541107,3375,0.07022222222222223,0.08177777777777778
receiver_need_by_score,local_max_score,-1.0,1707,770,937,0.46690945127444594,0.4710116423737903,-0.6344402307717057,-0.6191411325936638,-0.8114596158266068,3375,0.050074074074074076,0.018074074074074076,-0.5530767738819122,3375,0.0725925925925926,0.08237037037037037
receiver_need_by_apce,local_apce,-1.0,1707,770,937,0.4611567727896437,0.4778111159155254,-165.8571383562955,-160.5066824519138,-237.70607376098633,3375,0.053037037037037035,0.015703703703703702,-126.89228439331055,3375,0.07703703703703704,0.08711111111111111
receiver_need_by_entropy,local_entropy,1.0,1707,770,937,0.46335084339353283,0.45644271552832316,0.5108533586774554,0.5439242780558455,0.3892090618610382,3375,0.053925925925925926,0.021333333333333333,0.6149681508541107,3375,0.07022222222222223,0.08177777777777778
sender_mean_score,sender_mean_score,1.0,1707,770,937,0.4861356359755506,0.46501816272146984,0.6160039595098464,0.6232610330057182,0.5591504536569118,3375,0.07851851851851852,0.07437037037037036,0.7968877553939819,3375,0.02637037037037037,0.020148148148148148
sender_max_score,sender_max_score,1.0,1707,770,937,0.5476700993776767,0.5090462632034642,0.7132693053065956,0.6998361628681516,0.661526083946228,3375,0.07703703703703704,0.08651851851851852,0.8556706309318542,3376,0.03850710900473934,0.023400473933649288
sender_mean_apce,sender_mean_apce,1.0,1707,770,937,0.4637278409957172,0.4545701335451156,159.01894497314058,164.51434154520675,136.98884963989258,3375,0.0791111111111111,0.07081481481481482,232.60155296325684,3375,0.026074074074074072,0.019851851851851853
sender_max_apce,sender_max_apce,1.0,1707,770,937,0.5386810628005932,0.5034899004366847,193.22848747055252,192.3380089986795,176.49795150756836,3375,0.07585185185185185,0.08,247.02125930786133,3375,0.030222222222222223,0.023703703703703703
sender_reliability_by_entropy,sender_mean_entropy,-1.0,1707,770,937,0.47801216926083523,0.44352836045716165,-0.5444502365279508,-0.5391995684187084,-0.5999370515346527,3375,0.0642962962962963,0.06962962962962962,-0.41046707332134247,3375,0.024888888888888887,0.023407407407407408
remote_minus_local_score,remote_minus_local_score,1.0,1707,770,937,0.4607964074346145,0.46809645156888435,-0.01843627126185925,0.004119900412054428,-0.10287773981690407,3375,0.08562962962962962,0.061037037037037035,0.08306610584259033,3375,0.06844444444444445,0.06725925925925925
remote_minus_local_apce,remote_minus_local_apce,1.0,1707,770,937,0.4540991559134569,0.4618479199375482,-6.838193383154931,4.007659093292953,-32.94267654418945,3375,0.08977777777777778,0.06814814814814815,29.529983520507812,3375,0.072,0.08177777777777778
local_collab_center_displacement,local_collab_center_displacement,1.0,1707,770,937,0.7261985613106211,0.6075365626068208,1.7212984507182996,1.216602018360144,0.09302517850179758,3379,0.01598105948505475,0.09795797573246523,0.3028249968360956,3379,0.13228765907073098,0.07428233205090264
relative_residual_norm,relative_residual_norm,1.0,1707,770,937,0.4927261639107957,0.4241105661433512,0.1037282341389687,0.10443524771400806,0.09093631058931351,3379,0.025451316957679788,0.03936075762059781,0.11009407788515091,3379,0.06422018348623854,0.09411068363421131
