variant,scope,group,auc,mean_iou,normalized_precision,precision
D0-local,overall,all,0.6488564254894907,0.6914925965433164,0.8289254123115483,0.8407117042170017
D0-local,view,A,0.6273595496182077,0.7109411579494871,0.8576098389022105,0.8138822422167505
D0-local,view,B,0.6131275027070929,0.6267259757024823,0.7383747176925123,0.8035425638915289
D0-local,view,C,0.7060822241431716,0.7368106559779799,0.8907916803399221,0.9047103065427254
D0-closed-loop,overall,all,0.6026244847673303,0.6415560673037466,0.7754030784518842,0.7771433796988264
D0-closed-loop,view,A,0.6223776284329345,0.706143081895058,0.846444907344018,0.8171817684837015
D0-closed-loop,view,B,0.5523739965377256,0.5660858294946352,0.6586227416443464,0.6812361772775997
D0-closed-loop,view,C,0.6331218293313309,0.6524392905215468,0.8211415863672882,0.8330121933351784
D0-safe,overall,all,0.6489428002241017,0.6917453726740705,0.83016377880552,0.8416642712206538
D0-safe,view,A,0.6251493672543222,0.7091005728995066,0.8571378294371129,0.8143676964958135
D0-safe,view,B,0.6143927374106863,0.6280122067585182,0.7410521247552436,0.804405376661158
D0-safe,view,C,0.7072862960072965,0.7381233383641874,0.8923013822242037,0.9062197405049897
