feature_group,task,held_out_target,train_rows,test_rows,train_positive_prior,all_missing_train_columns
P0,A_helpful_vs_harmful,md3016,3101,1062,0.46468881006127055,0
P0,A_helpful_vs_harmful,md3027,4037,126,0.4649492197176121,0
P0,A_helpful_vs_harmful,md3034,3044,1119,0.5496057818659659,0
P0,A_helpful_vs_harmful,md3048,3374,789,0.43716656787196206,0
P0,A_helpful_vs_harmful,md3055,3096,1067,0.436046511627907,0
P0,B_replace_local,md3016,21516,5480,0.06697341513292433,0
P0,B_replace_local,md3027,20226,6770,0.09280134480371799,0
P0,B_replace_local,md3034,22192,4804,0.07538752703677001,0
P0,B_replace_local,md3048,23956,3040,0.06157121389213558,0
P0,B_replace_local,md3055,20094,6902,0.06718423409973126,0
P1,A_helpful_vs_harmful,md3016,3101,1062,0.46468881006127055,0
P1,A_helpful_vs_harmful,md3027,4037,126,0.4649492197176121,0
P1,A_helpful_vs_harmful,md3034,3044,1119,0.5496057818659659,0
P1,A_helpful_vs_harmful,md3048,3374,789,0.43716656787196206,0
P1,A_helpful_vs_harmful,md3055,3096,1067,0.436046511627907,0
P1,B_replace_local,md3016,21516,5480,0.06697341513292433,0
P1,B_replace_local,md3027,20226,6770,0.09280134480371799,0
P1,B_replace_local,md3034,22192,4804,0.07538752703677001,0
P1,B_replace_local,md3048,23956,3040,0.06157121389213558,0
P1,B_replace_local,md3055,20094,6902,0.06718423409973126,0
P2,A_helpful_vs_harmful,md3016,3101,1062,0.46468881006127055,0
P2,A_helpful_vs_harmful,md3027,4037,126,0.4649492197176121,0
P2,A_helpful_vs_harmful,md3034,3044,1119,0.5496057818659659,0
P2,A_helpful_vs_harmful,md3048,3374,789,0.43716656787196206,0
P2,A_helpful_vs_harmful,md3055,3096,1067,0.436046511627907,0
P2,B_replace_local,md3016,21516,5480,0.06697341513292433,0
P2,B_replace_local,md3027,20226,6770,0.09280134480371799,0
P2,B_replace_local,md3034,22192,4804,0.07538752703677001,0
P2,B_replace_local,md3048,23956,3040,0.06157121389213558,0
P2,B_replace_local,md3055,20094,6902,0.06718423409973126,0
P3,A_helpful_vs_harmful,md3016,3101,1062,0.46468881006127055,0
P3,A_helpful_vs_harmful,md3027,4037,126,0.4649492197176121,0
P3,A_helpful_vs_harmful,md3034,3044,1119,0.5496057818659659,0
P3,A_helpful_vs_harmful,md3048,3374,789,0.43716656787196206,0
P3,A_helpful_vs_harmful,md3055,3096,1067,0.436046511627907,0
P3,B_replace_local,md3016,21516,5480,0.06697341513292433,0
P3,B_replace_local,md3027,20226,6770,0.09280134480371799,0
P3,B_replace_local,md3034,22192,4804,0.07538752703677001,0
P3,B_replace_local,md3048,23956,3040,0.06157121389213558,0
P3,B_replace_local,md3055,20094,6902,0.06718423409973126,0
P4,A_helpful_vs_harmful,md3016,3101,1062,0.46468881006127055,0
P4,A_helpful_vs_harmful,md3027,4037,126,0.4649492197176121,0
P4,A_helpful_vs_harmful,md3034,3044,1119,0.5496057818659659,0
P4,A_helpful_vs_harmful,md3048,3374,789,0.43716656787196206,0
P4,A_helpful_vs_harmful,md3055,3096,1067,0.436046511627907,0
P4,B_replace_local,md3016,21516,5480,0.06697341513292433,0
P4,B_replace_local,md3027,20226,6770,0.09280134480371799,0
P4,B_replace_local,md3034,22192,4804,0.07538752703677001,0
P4,B_replace_local,md3048,23956,3040,0.06157121389213558,0
P4,B_replace_local,md3055,20094,6902,0.06718423409973126,0
