pair_id,split,target_id,view,template_frame_id,search_frame_id,delta_max_score_s_minus_c,delta_apce_s_minus_c,delta_score_entropy_s_minus_c,bbox_center_displacement_normalized,bbox_center_displacement_pixels_256,bbox_log_scale_l1,synthetic_same_view_natural_centroid_nearest_cos,c_to_s_nearest_cos_mean,s_to_c_nearest_cos_mean,symmetric_best_match_cos,cross_token_cos_mean_control,centroid_cos_control
d2p1-train-md3005-A-00000,train,md3005,A,4,5,-0.2149781584739685,-66.91802215576172,0.06516784429550171,0.38837972190723463,99.42520880825207,0.10606025569720103,0.92116379737854,0.8611273765563965,0.8576460480690002,0.8593867123126984,0.7150639295578003,0.9352113604545593
d2p1-train-md3005-A-00001,train,md3005,A,14,15,-0.3065947890281677,-60.45613098144531,0.12922370433807373,0.34558614330906645,88.47005268712101,0.436935575145316,0.9533021450042725,0.8132712841033936,0.871558666229248,0.8424149751663208,0.7609638571739197,0.9285866022109985
d2p1-train-md3005-A-00002,train,md3005,A,23,24,-0.2535172998905182,-62.749000549316406,0.14072686433792114,0.1267257612467115,32.441794879158145,0.5075159972060965,0.9478616714477539,0.8278207182884216,0.8399919271469116,0.8339063227176666,0.7098406553268433,0.9143515825271606
d2p1-train-md3005-A-00003,train,md3005,A,33,34,-0.12496918439865112,-61.25212097167969,0.15305006504058838,0.1034760677908882,26.489873354467377,0.7562306677125493,0.9520734548568726,0.7642383575439453,0.7672514915466309,0.7657449245452881,0.6386205554008484,0.860920250415802
d2p1-train-md3005-A-00004,train,md3005,A,42,43,-0.28443780541419983,-83.68719863891602,0.12993454933166504,0.13222483117680625,33.8495567812624,0.32612621170065986,0.9442129135131836,0.7853580117225647,0.779661238193512,0.7825096249580383,0.6819357872009277,0.9113520979881287
d2p1-train-md3005-A-00005,train,md3005,A,52,53,-0.21459054946899414,-41.267181396484375,0.09868484735488892,0.20023807296608365,51.260946679317414,0.42021047507450643,0.9093723297119141,0.7990399599075317,0.7768762111663818,0.7879580855369568,0.6467525362968445,0.9052720069885254
d2p1-train-md3005-A-00006,train,md3005,A,61,62,-0.12759989500045776,-37.69181823730469,0.07099366188049316,0.2055925660978264,52.631696921043556,0.3933275306850251,0.9367629289627075,0.8426353335380554,0.8117598295211792,0.8271975815296173,0.6936901807785034,0.9295328855514526
d2p1-train-md3005-A-00007,train,md3005,A,70,71,-0.29233109951019287,-76.17947387695312,0.0965391993522644,0.2345693318600592,60.04974895617516,0.08254819116380216,0.9203219413757324,0.8494329452514648,0.7963839769363403,0.8229084610939026,0.6559047698974609,0.8917153477668762
d2p1-train-md3005-A-00008,train,md3005,A,80,81,-0.24201440811157227,-96.41510009765625,0.06518101692199707,0.19942899598391337,51.05382297188182,0.27351700644404275,0.9332296848297119,0.8349514007568359,0.8088412880897522,0.8218963444232941,0.6532647013664246,0.9128468632698059
d2p1-train-md3005-A-00009,train,md3005,A,89,90,-0.1350710391998291,-46.148284912109375,0.02534353733062744,0.21223264667326092,54.331557548354795,0.3261318486581054,0.9344379901885986,0.8376598358154297,0.8007375001907349,0.8191986680030823,0.6540021896362305,0.9022974967956543
d2p1-train-md3005-A-00010,train,md3005,A,99,100,-0.147840678691864,-49.08079528808594,0.08321970701217651,0.19232892830762707,49.23620564675253,0.39601314953757566,0.922608494758606,0.8022140264511108,0.7651553750038147,0.7836847007274628,0.6132313013076782,0.9046489000320435
d2p1-train-md3005-A-00011,train,md3005,A,108,109,-0.4010581076145172,-121.63228607177734,0.08718645572662354,0.18410828512590072,47.13172099223058,0.2527316628427657,0.9494563937187195,0.8272827863693237,0.8210560083389282,0.824169397354126,0.6816964745521545,0.951377809047699
d2p1-train-md3005-A-00012,train,md3005,A,118,119,-0.08465427160263062,-36.24089813232422,0.0564800500869751,0.15272127051396087,39.09664525157398,0.4382149350202634,0.9199901819229126,0.7868452072143555,0.7998093366622925,0.793327271938324,0.6719390153884888,0.9284259080886841
d2p1-train-md3005-A-00013,train,md3005,A,127,128,-0.5402724593877792,-142.11838150024414,0.17805153131484985,0.22775798258611546,58.30604354204556,0.15194099903235203,0.9438191652297974,0.7945793867111206,0.8273984789848328,0.8109889328479767,0.704352855682373,0.9186027646064758
d2p1-train-md3005-A-00014,train,md3005,A,137,138,-0.2673341929912567,-64.78791809082031,0.17142599821090698,0.5155429606163099,131.97899791777533,0.2888274659386753,0.9402189254760742,0.78044593334198,0.817953884601593,0.7991999089717865,0.6688474416732788,0.8784105181694031
d2p1-train-md3005-A-00015,train,md3005,A,146,147,-0.2790219187736511,-90.75481414794922,0.11454302072525024,0.5015131142001763,128.38735723524513,0.2826829460257582,0.9493123292922974,0.7981992959976196,0.8357571363449097,0.8169782161712646,0.6859234571456909,0.9115262627601624
d2p1-train-md3005-A-00016,train,md3005,A,156,157,-0.3291132152080536,-88.79088592529297,0.16673338413238525,0.5323542633336756,136.28269141342096,0.3704666543870221,0.9492026567459106,0.7801852226257324,0.7994474768638611,0.7898163497447968,0.6625745296478271,0.8704891800880432
