split,view,feature,group,natural_p10,natural_p90,sample_count,outside_natural_p10_p90_count,outside_natural_p10_p90_ratio
train,A,prompt_topk_score_mean,clean,0.13111881911754608,0.24934714436531066,652,264,0.4049079754601227
train,A,prompt_topk_score_mean,synthetic,0.13111881911754608,0.24934714436531066,652,276,0.4233128834355828
train,A,prompt_top1_top8_gap,clean,0.2127198323607445,0.9207756280899048,652,350,0.5368098159509203
train,A,prompt_top1_top8_gap,synthetic,0.2127198323607445,0.9207756280899048,652,260,0.3987730061349693
train,A,prompt_norm_mean,clean,12.38927640914917,12.62875738143921,652,119,0.18251533742331288
train,A,prompt_norm_mean,synthetic,12.38927640914917,12.62875738143921,652,324,0.49693251533742333
train,A,prompt_pairwise_cos_mean,clean,0.5905602931976318,0.8085304081439971,652,55,0.0843558282208589
train,A,prompt_pairwise_cos_mean,synthetic,0.5905602931976318,0.8085304081439971,652,312,0.4785276073619632
train,B,prompt_topk_score_mean,clean,0.1323869526386261,0.2720356583595276,1011,420,0.41543026706231456
train,B,prompt_topk_score_mean,synthetic,0.1323869526386261,0.2720356583595276,1011,389,0.3847675568743818
train,B,prompt_top1_top8_gap,clean,0.22086277604103088,0.9152031540870667,1011,612,0.6053412462908012
train,B,prompt_top1_top8_gap,synthetic,0.22086277604103088,0.9152031540870667,1011,448,0.4431256181998022
train,B,prompt_norm_mean,clean,12.323363304138184,12.656250953674316,1011,146,0.1444114737883284
train,B,prompt_norm_mean,synthetic,12.323363304138184,12.656250953674316,1011,442,0.437190900098912
train,B,prompt_pairwise_cos_mean,clean,0.5722968578338623,0.793877899646759,1011,134,0.13254203758654798
train,B,prompt_pairwise_cos_mean,synthetic,0.5722968578338623,0.793877899646759,1011,514,0.5084075173095944
train,C,prompt_topk_score_mean,clean,0.1538408175110817,0.2758823484182358,678,80,0.11799410029498525
train,C,prompt_topk_score_mean,synthetic,0.1538408175110817,0.2758823484182358,678,168,0.24778761061946902
train,C,prompt_top1_top8_gap,clean,0.1652222961187363,0.7921291470527649,678,232,0.3421828908554572
train,C,prompt_top1_top8_gap,synthetic,0.1652222961187363,0.7921291470527649,678,202,0.29793510324483774
train,C,prompt_norm_mean,clean,12.361029243469238,12.586741924285889,678,156,0.23008849557522124
train,C,prompt_norm_mean,synthetic,12.361029243469238,12.586741924285889,678,199,0.2935103244837758
train,C,prompt_pairwise_cos_mean,clean,0.6285005211830139,0.8238091409206392,678,51,0.0752212389380531
train,C,prompt_pairwise_cos_mean,synthetic,0.6285005211830139,0.8238091409206392,678,209,0.308259587020649
val,A,prompt_topk_score_mean,clean,0.1729866474866867,0.27869456112384794,468,123,0.26282051282051283
val,A,prompt_topk_score_mean,synthetic,0.1729866474866867,0.27869456112384794,468,157,0.33547008547008544
val,A,prompt_top1_top8_gap,clean,0.15635062605142594,0.7492724180221558,468,276,0.5897435897435898
val,A,prompt_top1_top8_gap,synthetic,0.15635062605142594,0.7492724180221558,468,180,0.38461538461538464
val,A,prompt_norm_mean,clean,12.308132362365722,12.616172409057617,468,152,0.3247863247863248
val,A,prompt_norm_mean,synthetic,12.308132362365722,12.616172409057617,468,96,0.20512820512820512
val,A,prompt_pairwise_cos_mean,clean,0.6334931313991546,0.8174168109893799,468,107,0.22863247863247863
val,A,prompt_pairwise_cos_mean,synthetic,0.6334931313991546,0.8174168109893799,468,144,0.3076923076923077
val,B,prompt_topk_score_mean,clean,0.23882606625556946,0.26241374015808105,41,41,1.0
val,B,prompt_topk_score_mean,synthetic,0.23882606625556946,0.26241374015808105,41,39,0.9512195121951219
val,B,prompt_top1_top8_gap,clean,0.3016895651817322,0.44022446870803833,41,41,1.0
val,B,prompt_top1_top8_gap,synthetic,0.3016895651817322,0.44022446870803833,41,37,0.9024390243902439
val,B,prompt_norm_mean,clean,12.343923568725586,12.509540557861328,41,25,0.6097560975609756
val,B,prompt_norm_mean,synthetic,12.343923568725586,12.509540557861328,41,24,0.5853658536585366
val,B,prompt_pairwise_cos_mean,clean,0.6941554546356201,0.7963276505470276,41,25,0.6097560975609756
val,B,prompt_pairwise_cos_mean,synthetic,0.6941554546356201,0.7963276505470276,41,24,0.5853658536585366
val,C,prompt_topk_score_mean,clean,0.14197619408369064,0.18280062377452852,90,84,0.9333333333333333
val,C,prompt_topk_score_mean,synthetic,0.14197619408369064,0.18280062377452852,90,69,0.7666666666666667
val,C,prompt_top1_top8_gap,clean,0.6152149736881256,0.8792372226715088,90,87,0.9666666666666667
val,C,prompt_top1_top8_gap,synthetic,0.6152149736881256,0.8792372226715088,90,88,0.9777777777777777
val,C,prompt_norm_mean,clean,12.570879650115966,12.652764129638673,90,46,0.5111111111111111
val,C,prompt_norm_mean,synthetic,12.570879650115966,12.652764129638673,90,83,0.9222222222222223
val,C,prompt_pairwise_cos_mean,clean,0.5184995353221893,0.6869424283504486,90,14,0.15555555555555556
val,C,prompt_pairwise_cos_mean,synthetic,0.5184995353221893,0.6869424283504486,90,53,0.5888888888888889
