sample_id,split,target_id,view,sequence_name,template_frame_id,search_frame_id,group,pair_id,balanced_primary,occlusion,out_of_view,bbox_valid,bbox_x,bbox_y,bbox_w,bbox_h,causal_max_gap,template_rule
d2p1-train-md3005-1-000005-clean,train,md3005,A,md3005-1,4,5,clean,d2p1-train-md3005-A-00000,True,0,0,True,807.0,297.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000005-synthetic,train,md3005,A,md3005-1,4,5,synthetic,d2p1-train-md3005-A-00000,True,0,0,True,807.0,297.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000015-clean,train,md3005,A,md3005-1,14,15,clean,d2p1-train-md3005-A-00001,True,0,0,True,808.0,310.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000015-synthetic,train,md3005,A,md3005-1,14,15,synthetic,d2p1-train-md3005-A-00001,True,0,0,True,808.0,310.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000024-clean,train,md3005,A,md3005-1,23,24,clean,d2p1-train-md3005-A-00002,True,0,0,True,809.0,318.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000024-synthetic,train,md3005,A,md3005-1,23,24,synthetic,d2p1-train-md3005-A-00002,True,0,0,True,809.0,318.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000034-clean,train,md3005,A,md3005-1,33,34,clean,d2p1-train-md3005-A-00003,True,0,0,True,813.0,321.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000034-synthetic,train,md3005,A,md3005-1,33,34,synthetic,d2p1-train-md3005-A-00003,True,0,0,True,813.0,321.0,12.0,21.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000043-clean,train,md3005,A,md3005-1,42,43,clean,d2p1-train-md3005-A-00004,True,0,0,True,818.0,322.0,11.0,22.0,200,latest_prior_common_visible
d2p1-train-md3005-1-000043-synthetic,train,md3005,A,md3005-1,42,43,synthetic,d2p1-train-md3005-A-00004,True,0,0,True,818.0,322.0,11.0,22.0,200,latest_prior_common_visible
