sample_id,source_sample_id,split,target_id,view,template_frame_id,search_frame_id,group,candidate,coverage,orientation,pair_id,balanced_primary,max_score,apce,score_map_max,score_map_mean,score_map_std,score_top1_top2_gap,score_entropy,pred_bbox_x,pred_bbox_y,pred_bbox_w,pred_bbox_h,prompt_valid,prompt_topk_score_mean,prompt_topk_score_std,prompt_topk_score_min,prompt_topk_score_max,prompt_top1_top8_gap,prompt_norm_mean,prompt_norm_std,prompt_pairwise_cos_mean,prompt_pairwise_cos_std,prompt_pairwise_cos_min,prompt_pairwise_cos_max
d2p1-train-md3005-1-000005-clean,,train,md3005,A,4,5,clean,Clean,0.0,bottom,d2p1-train-md3005-A-00000,True,0.5948896408081055,125.73274993896484,0.5948896408081055,0.014052101410925388,0.05117648094892502,0.1319410502910614,0.7243396639823914,0.5015445351600647,0.4766806960105896,0.17905670404434204,0.3704303205013275,True,0.22729796171188354,0.18435969948768616,0.06448805332183838,0.5948896408081055,0.5304015874862671,12.483777046203613,0.16425420343875885,0.7075583338737488,0.12401939928531647,0.508126437664032,0.9005953669548035
d2p1-train-md3005-1-000015-clean,,train,md3005,A,14,15,clean,Clean,0.0,top,d2p1-train-md3005-A-00001,True,0.5525527000427246,95.18504333496094,0.5525527000427246,0.017531152814626694,0.053875528275966644,0.14420178532600403,0.7450323700904846,0.49102917313575745,0.5021408796310425,0.1777646243572235,0.41338050365448,True,0.2752898037433624,0.13522565364837646,0.1252906769514084,0.5525527000427246,0.42726200819015503,12.484552383422852,0.1351180374622345,0.7246401906013489,0.1453365534543991,0.33787980675697327,0.9151772260665894
d2p1-train-md3005-1-000024-clean,,train,md3005,A,23,24,clean,Clean,0.0,left,d2p1-train-md3005-A-00002,True,0.6643598675727844,150.2141571044922,0.6643598675727844,0.01324988529086113,0.052578359842300415,0.3364519476890564,0.6948116421699524,0.5076181888580322,0.5045929551124573,0.1686173975467682,0.40100371837615967,True,0.24401156604290009,0.17843212187290192,0.07973597198724747,0.6643598675727844,0.5846238732337952,12.534581184387207,0.11004593223333359,0.7904648184776306,0.07415494322776794,0.6311219334602356,0.9264833331108093
d2p1-train-md3005-1-000034-clean,,train,md3005,A,33,34,clean,Clean,0.0,right,d2p1-train-md3005-A-00003,True,0.6723065376281738,153.15927124023438,0.6723065376281738,0.01249864511191845,0.05288228765130043,0.3688212037086487,0.6685560345649719,0.4893440008163452,0.5021200776100159,0.1821034550666809,0.38862815499305725,True,0.24264299869537354,0.18230600655078888,0.06153002008795738,0.6723065376281738,0.6107765436172485,12.571370124816895,0.0878995805978775,0.7323336005210876,0.1202453076839447,0.4063045382499695,0.9024015069007874
d2p1-train-md3005-1-000043-clean,,train,md3005,A,42,43,clean,Clean,0.0,top,d2p1-train-md3005-A-00004,True,0.6255886554718018,133.23196411132812,0.6255886554718018,0.013435161672532558,0.05252300575375557,0.24138391017913818,0.6999190449714661,0.4851762354373932,0.4816202223300934,0.20420393347740173,0.3867394030094147,True,0.24356767535209656,0.1793266236782074,0.0643358826637268,0.6255886554718018,0.561252772808075,12.524148941040039,0.10065752267837524,0.7316412329673767,0.10978753119707108,0.5373072028160095,0.9266418218612671
d2p1-train-md3005-1-000053-clean,,train,md3005,A,52,53,clean,Clean,0.0,top,d2p1-train-md3005-A-00005,True,0.7255739569664001,187.1080322265625,0.7255739569664001,0.010877005755901337,0.0519300140440464,0.4366828501224518,0.6537252068519592,0.49464884400367737,0.4912744164466858,0.19513390958309174,0.3431755006313324,True,0.21451246738433838,0.20656099915504456,0.056574903428554535,0.7255739569664001,0.6689990758895874,12.603483200073242,0.06030667945742607,0.708124577999115,0.13302241265773773,0.4191974699497223,0.9165178537368774
d2p1-train-md3005-1-000062-clean,,train,md3005,A,61,62,clean,Clean,0.0,right,d2p1-train-md3005-A-00006,True,0.6577413082122803,160.1773681640625,0.6577413082122803,0.011361640878021717,0.05072718858718872,0.25967273116111755,0.6649364233016968,0.4976258873939514,0.4818146228790283,0.18032225966453552,0.3782500922679901,True,0.21600231528282166,0.1945713609457016,0.04341305047273636,0.6577413082122803,0.6143282651901245,12.523866653442383,0.10045342892408371,0.7599106431007385,0.09601207822561264,0.5922601819038391,0.9396646022796631
d2p1-train-md3005-1-000071-clean,,train,md3005,A,70,71,clean,Clean,0.0,left,d2p1-train-md3005-A-00007,True,0.7192103862762451,193.575927734375,0.7192103862762451,0.009703624993562698,0.05078548565506935,0.43602535128593445,0.6233040690422058,0.49494272470474243,0.510931670665741,0.19138003885746002,0.3238384425640106,True,0.20275381207466125,0.20873652398586273,0.038068436086177826,0.7192103862762451,0.6811419725418091,12.586864471435547,0.12307377904653549,0.7033312916755676,0.12444709241390228,0.5298799276351929,0.9266467690467834
d2p1-train-md3005-1-000081-clean,,train,md3005,A,80,81,clean,Clean,0.0,right,d2p1-train-md3005-A-00008,True,0.7141407132148743,183.31271362304688,0.7141407132148743,0.011259561404585838,0.051544055342674255,0.470215380191803,0.662618100643158,0.4977528750896454,0.49771687388420105,0.18588104844093323,0.3614158034324646,True,0.2177083045244217,0.19986307621002197,0.0615411214530468,0.7141407132148743,0.652599573135376,12.531011581420898,0.10382096469402313,0.7154791951179504,0.15405088663101196,0.3721240758895874,0.9101110100746155
d2p1-train-md3005-1-000090-clean,,train,md3005,A,89,90,clean,Clean,0.0,bottom,d2p1-train-md3005-A-00009,True,0.7142369151115417,183.92520141601562,0.7142369151115417,0.010427788831293583,0.05163474380970001,0.43682926893234253,0.6302691698074341,0.4965633749961853,0.4888666570186615,0.192605659365654,0.3433936834335327,True,0.21738117933273315,0.2009991854429245,0.05599946528673172,0.7142369151115417,0.6582374572753906,12.567489624023438,0.09581466764211655,0.7262154221534729,0.13544055819511414,0.48313573002815247,0.9395328164100647
d2p1-train-md3005-1-000100-clean,,train,md3005,A,99,100,clean,Clean,0.0,top,d2p1-train-md3005-A-00010,True,0.6951617002487183,180.68101501464844,0.6951617002487183,0.010018774308264256,0.0507487989962101,0.3786109685897827,0.6205187439918518,0.49446067214012146,0.4849334955215454,0.1949184387922287,0.32353442907333374,True,0.21243558824062347,0.19875147938728333,0.06365349143743515,0.6951617002487183,0.6315082311630249,12.566970825195312,0.0901646539568901,0.6729572415351868,0.14868126809597015,0.4390319585800171,0.9185954928398132
d2p1-train-md3005-1-000109-clean,,train,md3005,A,108,109,clean,Clean,0.0,top,d2p1-train-md3005-A-00011,True,0.7282825112342834,192.6778106689453,0.7282825112342834,0.010841161012649536,0.05134803056716919,0.49286793172359467,0.6539103388786316,0.4983348548412323,0.5023956298828125,0.19097013771533966,0.32430461049079895,True,0.2105468064546585,0.2051272690296173,0.049853820353746414,0.7282825112342834,0.6784287095069885,12.509085655212402,0.11888723075389862,0.6711519956588745,0.1490466147661209,0.36349785327911377,0.9039818048477173
d2p1-train-md3005-1-000119-clean,,train,md3005,A,118,119,clean,Clean,0.0,right,d2p1-train-md3005-A-00012,True,0.6582528352737427,161.86717224121094,0.6582528352737427,0.011745276860892773,0.0504026859998703,0.3006148934364319,0.6733142137527466,0.4959685206413269,0.5066413283348083,0.1890476942062378,0.3068973124027252,True,0.22177544236183167,0.18521736562252045,0.07262646406888962,0.6582528352737427,0.5856263637542725,12.544523239135742,0.0908917784690857,0.6525274515151978,0.15283626317977905,0.3758145272731781,0.9201448559761047
d2p1-train-md3005-1-000128-clean,,train,md3005,A,127,128,clean,Clean,0.0,top,d2p1-train-md3005-A-00013,True,0.7407130002975464,200.40773010253906,0.7407130002975464,0.009742297232151031,0.05141959339380264,0.4682028293609619,0.6305530667304993,0.5035954117774963,0.5071347951889038,0.20165497064590454,0.32876473665237427,True,0.19842326641082764,0.21746158599853516,0.03298524022102356,0.7407130002975464,0.7077277898788452,12.57340145111084,0.08940872550010681,0.7013307809829712,0.11361850053071976,0.43305835127830505,0.8872037529945374
