scope,target,receiver,run_count,asymmetric_frame_count,mean_run_length,median_run_length,p90_run_length,max_run_length
target_receiver,md3005,A,7,329,47.000000,31.000000,95.200000,148
target_receiver,md3005,B,5,182,36.400000,31.000000,68.400000,74
target_receiver,md3005,C,7,278,39.714286,17.000000,103.600000,148
target_receiver,md3008,A,4,182,45.500000,27.000000,101.500000,127
target_receiver,md3008,B,3,156,52.000000,50.000000,65.200000,69
target_receiver,md3008,C,2,25,12.500000,12.500000,16.900000,18
target_receiver,md3013,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3013,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3013,C,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3017,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3017,B,1,10,10.000000,10.000000,10.000000,10
target_receiver,md3017,C,1,10,10.000000,10.000000,10.000000,10
target_receiver,md3018,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3018,B,1,5,5.000000,5.000000,5.000000,5
target_receiver,md3018,C,1,5,5.000000,5.000000,5.000000,5
target_receiver,md3019,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3019,B,2,8,4.000000,4.000000,4.800000,5
target_receiver,md3019,C,2,8,4.000000,4.000000,4.800000,5
target_receiver,md3020,A,1,6,6.000000,6.000000,6.000000,6
target_receiver,md3020,B,3,65,21.666667,22.000000,34.000000,37
target_receiver,md3020,C,2,59,29.500000,29.500000,35.500000,37
target_receiver,md3026,A,1,99,99.000000,99.000000,99.000000,99
target_receiver,md3026,B,3,73,24.333333,19.000000,31.800000,35
target_receiver,md3026,C,4,172,43.000000,27.000000,79.800000,99
target_receiver,md3030,A,7,121,17.285714,12.000000,32.000000,53
target_receiver,md3030,B,5,70,14.000000,13.000000,21.000000,21
target_receiver,md3030,C,4,86,21.500000,22.500000,31.700000,32
target_receiver,md3031,A,8,175,21.875000,14.500000,45.800000,57
target_receiver,md3031,B,3,78,26.000000,32.000000,33.600000,34
target_receiver,md3031,C,8,130,16.250000,14.000000,24.200000,41
target_receiver,md3032,A,3,89,29.666667,20.000000,53.600000,62
target_receiver,md3032,B,1,28,28.000000,28.000000,28.000000,28
target_receiver,md3032,C,4,117,29.250000,24.000000,51.800000,62
target_receiver,md3035,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3035,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3035,C,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3036,A,2,779,389.500000,389.500000,691.500000,767
target_receiver,md3036,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3036,C,2,779,389.500000,389.500000,691.500000,767
target_receiver,md3038,A,8,306,38.250000,42.000000,63.400000,76
target_receiver,md3038,B,1,22,22.000000,22.000000,22.000000,22
target_receiver,md3038,C,8,348,43.500000,29.000000,103.000000,110
target_receiver,md3040,A,2,124,62.000000,62.000000,100.400000,110
target_receiver,md3040,B,2,127,63.500000,63.500000,100.700000,110
target_receiver,md3040,C,2,31,15.500000,15.500000,16.700000,17
target_receiver,md3044,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3044,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3044,C,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3050,A,9,192,21.333333,17.000000,40.400000,70
target_receiver,md3050,B,9,429,47.666667,26.000000,86.000000,190
target_receiver,md3050,C,7,295,42.142857,42.000000,77.600000,98
target_receiver,md3051,A,10,89,8.900000,5.000000,14.600000,38
target_receiver,md3051,B,12,89,7.416667,5.000000,11.800000,22
target_receiver,md3051,C,5,71,14.200000,12.000000,21.600000,22
target_receiver,md3054,A,2,12,6.000000,6.000000,7.600000,8
target_receiver,md3054,B,1,4,4.000000,4.000000,4.000000,4
target_receiver,md3054,C,1,8,8.000000,8.000000,8.000000,8
target_receiver,md3058,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3058,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3058,C,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3059,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3059,B,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3059,C,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3060,A,2,71,35.500000,35.500000,37.500000,38
target_receiver,md3060,B,3,130,43.333333,38.000000,54.800000,59
target_receiver,md3060,C,1,59,59.000000,59.000000,59.000000,59
target_receiver,md3062,A,0,0,0.000000,0.000000,0.000000,0
target_receiver,md3062,B,1,7,7.000000,7.000000,7.000000,7
target_receiver,md3062,C,1,7,7.000000,7.000000,7.000000,7
receiver_overall,,A,66,2574,39.000000,14.000000,66.000000,767
receiver_overall,,B,56,1483,26.482143,19.000000,59.500000,190
receiver_overall,,C,62,2488,40.129032,17.000000,73.000000,767
split_overall,,overall,184,6545,35.570652,17.000000,63.400000,767
