split,target,A_annotation_frames,B_annotation_frames,C_annotation_frames,synchronized_triplets,discarded_unsynchronized_tail_frames,common_visible_triplets,A_receiver_visible_frames,B_receiver_visible_frames,C_receiver_visible_frames,receiver_visible_total,A_natural_asymmetric_frames,A_natural_asymmetric_percentage,B_natural_asymmetric_frames,B_natural_asymmetric_percentage,C_natural_asymmetric_frames,C_natural_asymmetric_percentage,natural_asymmetric_receiver_frames,natural_asymmetric_percentage
train,md3005,1104,1104,1104,1104,0,701,1030,883,979,2892,329,31.941748,182,20.611552,278,28.396323,789,27.282158
train,md3008,652,652,652,652,0,0,182,156,25,363,182,100.000000,156,100.000000,25,100.000000,363,100.000000
train,md3013,634,634,634,634,0,634,634,634,634,1902,0,0.000000,0,0.000000,0,0.000000,0,0.000000
train,md3017,455,455,455,455,0,445,445,455,455,1355,0,0.000000,10,2.197802,10,2.197802,20,1.476015
train,md3018,1033,1033,1033,1033,0,1028,1028,1033,1033,3094,0,0.000000,5,0.484027,5,0.484027,10,0.323206
train,md3019,740,740,740,740,0,732,732,740,740,2212,0,0.000000,8,1.081081,8,1.081081,16,0.723327
train,md3020,552,552,552,552,0,487,493,552,546,1591,6,1.217039,65,11.775362,59,10.805861,130,8.170962
train,md3026,400,400,400,400,0,228,327,301,400,1028,99,30.275229,73,24.252492,172,43.000000,344,33.463035
train,md3030,525,525,525,525,0,382,503,452,468,1423,121,24.055666,70,15.486726,86,18.376068,277,19.465917
train,md3031,635,635,635,635,0,430,605,508,560,1673,175,28.925620,78,15.354331,130,23.214286,383,22.893007
train,md3032,610,610,610,610,0,493,582,521,610,1713,89,15.292096,28,5.374280,117,19.180328,234,13.660245
train,md3035,546,546,546,546,0,546,546,546,546,1638,0,0.000000,0,0.000000,0,0.000000,0,0.000000
train,md3036,786,786,786,786,0,7,786,7,786,1579,779,99.109415,0,0.000000,779,99.109415,1558,98.670044
train,md3038,608,608,608,608,0,209,515,231,557,1303,306,59.417476,22,9.523810,348,62.477558,676,51.880276
train,md3040,850,850,850,850,0,709,833,836,740,2409,124,14.885954,127,15.191388,31,4.189189,282,11.706102
train,md3044,797,797,797,797,0,797,797,797,797,2391,0,0.000000,0,0.000000,0,0.000000,0,0.000000
train,md3050,830,830,830,830,0,131,323,560,426,1309,192,59.442724,429,76.607143,295,69.248826,916,69.977082
train,md3051,602,602,602,602,0,475,564,564,546,1674,89,15.780142,89,15.780142,71,13.003663,249,14.874552
train,md3054,585,585,585,585,0,573,585,577,581,1743,12,2.051282,4,0.693241,8,1.376936,24,1.376936
train,md3058,883,883,883,883,0,883,883,883,883,2649,0,0.000000,0,0.000000,0,0.000000,0,0.000000
train,md3059,946,946,946,946,0,946,946,946,946,2838,0,0.000000,0,0.000000,0,0.000000,0,0.000000
train,md3060,640,640,640,640,0,510,581,640,569,1790,71,12.220310,130,20.312500,59,10.369069,260,14.525140
train,md3062,725,725,725,725,0,718,718,725,725,2168,0,0.000000,7,0.965517,7,0.965517,14,0.645756
